Long Station Name,Collection Date,EC,Alkalinity,Sacramento X2,WYT,Location,Area
Contra Costa PP Number 01,12/3/2001,750,82,82.50576236,D,OMR,Interior
Old River North of Rock Slough (St 4b),4/22/1992,325,81,77.19407905,C,OMR,Interior
Rock Slough @ Old River,4/22/1992,330,81,77.19407905,C,OMR,Interior
Contra Costa PP Number 01,5/19/1992,451,81,92.35936602,C,OMR,Interior
Middle River at Bacon Island Bridge,10/20/1994,464,81,92.73586707,AN,OMR,Interior
Old River North of Rock Slough (St 4b),5/22/1991,613,81,90.63835999,C,OMR,Interior
Middle River @ Union Point - P10A,2/3/2014,774,81,93.92384943,C,OMR,Interior
Clifton Court Intake,12/11/1991,810,81,94.35994762,C,OMR,Interior
Old River near Rock Slough,10/30/1959,281,80,83.58656463,W,OMR,Interior
Middle River at Bacon Island Bridge,9/24/1990,368,80,90.82305445,C,OMR,Interior
Middle River @ Union Point - P10A,3/2/2015,406,80,78.10690622,C,OMR,Interior
Middle River @ Union Point - P10A,10/1/2008,461,80,88.30977329,D,OMR,Interior
Middle River at Bacon Island Bridge,3/24/1994,516,80,72.52425966,C,OMR,Interior
Clifton Court Intake,6/25/1991,607,80,93.04612539,C,OMR,Interior
Middle River @ Union Point - P10A,11/3/2014,613,80,92.39401068,D,OMR,Interior
Contra Costa PP Number 01,2/24/1992,793,80,66.71267132,C,OMR,Interior
Middle River at Bacon Island Bridge,4/22/1992,335,79,77.19407905,C,OMR,Interior
Middle River @ Union Point - P10A,6/2/2008,435,79,81.73068377,C,OMR,Interior
Middle River at Bacon Island Bridge,5/21/1992,458,79,91.77345049,C,OMR,Interior
Middle River @ Union Point - P10A,5/3/2016,461,79,75.47029728,BN,OMR,Interior
Middle River @ Union Point - P10A,10/6/2014,503,79,94.77701545,D,OMR,Interior
Contra Costa PP Number 01,4/4/1996,554,79,58.29157662,W,OMR,Interior
Contra Costa PP Number 01,9/4/2002,854,79,88.12309273,D,OMR,Interior
Rock Slough @ Old River,4/20/1994,357,78,78.884997,C,OMR,Interior
Middle River at Bacon Island Bridge,9/22/1994,407,78,90.04354307,C,OMR,Interior
Contra Costa PP Number 01,3/24/1992,421,78,67.98576989,C,OMR,Interior
