Long Station Name,Collection Date,EC,Ca,Sacramento X2,WYT,Location,Area
Middle River @ Union Point - P10A,2/3/2015,415,24,87.92593622,C,OMR,Interior
Middle River @ Union Point - P10A,3/2/2015,406,24,78.10690622,C,OMR,Interior
Rock Slough @ Old River,2/25/1991,1080,23,94.18554964,C,OMR,Interior
Old River North of Rock Slough (St 4b),2/25/1991,1080,23,94.18554964,C,OMR,Interior
Rock Slough @ Old River,2/14/1991,1070,23,93.77396204,C,OMR,Interior
Old River South of Rock Slough (St 5A),3/1/1991,1050,23,95.64094598,C,OMR,Interior
Clifton Court Intake,12/11/1990,853,23,93.08539402,C,OMR,Interior
Contra Costa PP Number 01,12/3/2002,850,23,93.0185482,D,OMR,Interior
Middle River at Bacon Island Bridge,12/10/1992,686,23,95.44056579,C,OMR,Interior
Middle River at Bacon Island Bridge,2/26/1991,610,23,94.34149831,C,OMR,Interior
Middle River @ Union Point - P10A,1/6/2009,589,23,86.18470086,D,OMR,Interior
Middle River at Bacon Island Bridge,10/24/1990,585,23,94.04183083,D,OMR,Interior
Contra Costa PP Number 01,4/4/1996,554,23,58.29157662,W,OMR,Interior
Contra Costa PP Number 01,5/2/1996,516,23,66.95278638,W,OMR,Interior
Contra Costa PP Number 01,2/6/2006,491,23,52.81827396,W,OMR,Interior
Middle River @ Union Point - P10A,1/5/2015,470,23,71.50190239,C,OMR,Interior
Old River South of Rock Slough (St 5A),2/5/1979,468,23,64.2815478,BN,OMR,Interior
Middle River @ Union Point - P10A,5/3/2016,461,23,75.47029728,BN,OMR,Interior
Middle River at Bacon Island Bridge,5/7/1992,456,23,90.34949329,C,OMR,Interior
Middle River @ Union Point - P10A,6/2/2008,435,23,81.73068377,C,OMR,Interior
Middle River @ Union Point - P10A,4/6/2015,419,23,88.0123047,C,OMR,Interior
Middle River @ Union Point - P10A,3/4/2008,374,23,66.16351777,C,OMR,Interior
Old River near Rock Slough,8/4/1959,1380,22,91.1135463,BN,OMR,Interior
Rock Slough @ Old River,12/12/1990,1100,22,93.02603777,C,OMR,Interior
Old River North of Rock Slough (St 4b),2/14/1991,1090,22,93.77396204,C,OMR,Interior
Old River South of Rock Slough (St 5A),2/1/1991,881,22,94.15033685,C,OMR,Interior
Contra Costa PP Number 01,2/3/2009,794,22,84.30493265,D,OMR,Interior
Old River near Rock Slough,7/7/1959,749,22,94.29889644,BN,OMR,Interior
Clifton Court Intake,11/19/1992,737,22,93.66767375,C,OMR,Interior
Clifton Court Intake,6/25/1992,724,22,90.85817896,C,OMR,Interior
Contra Costa PP Number 01,1/8/2002,616,22,54.28372948,D,OMR,Interior
Middle River at Bacon Island Bridge,11/19/1992,607,22,93.66767375,C,OMR,Interior
Clifton Court Intake,6/4/1992,569,22,92.61021102,C,OMR,Interior
Middle River at Bacon Island Bridge,2/13/1991,557,22,94.27904419,C,OMR,Interior
Middle River at Bacon Island Bridge,10/16/1990,542,22,94.0236734,D,OMR,Interior
Middle River at Bacon Island Bridge,12/11/1990,542,22,93.08539402,C,OMR,Interior
Middle River at Bacon Island Bridge,1/29/1991,532,22,94.90599798,C,OMR,Interior
Middle River at Bacon Island Bridge,3/11/1991,514,22,78.62871498,C,OMR,Interior
Contra Costa PP Number 01,3/2/2004,500,22,49.65011755,BN,OMR,Interior
Middle River @ Union Point - P10A,2/3/2016,488,22,59.65346245,BN,OMR,Interior
Middle River at Bacon Island Bridge,3/25/1991,469,22,72.32639176,C,OMR,Interior
Contra Costa PP Number 01,4/8/2008,465,22,78.37516679,C,OMR,Interior
Clifton Court Intake,5/21/1992,463,22,91.77345049,C,OMR,Interior
Middle River @ Union Point - P10A,2/6/2007,460,22,79.89948567,D,OMR,Interior
Middle River at Bacon Island Bridge,5/21/1992,458,22,91.77345049,C,OMR,Interior
Middle River @ Union Point - P10A,2/5/2008,456,22,54.87619201,C,OMR,Interior
Contra Costa PP Number 01,5/5/1999,451,22,57.23000982,W,OMR,Interior
Middle River at Bacon Island Bridge,5/13/1993,411,22,61.911538,AN,OMR,Interior
Middle River @ Union Point - P10A,2/4/2019,411,22,#N/A,W,OMR,Interior
Clifton Court Intake,4/8/1993,400,22,54.30864006,AN,OMR,Interior
Old River North of Rock Slough (St 4b),12/12/1990,1060,21,93.02603777,C,OMR,Interior
Rock Slough @ Old River,6/11/1992,947,21,90.14218042,C,OMR,Interior
Contra Costa PP Number 01,11/17/1992,943,21,94.87189975,C,OMR,Interior
Contra Costa PP Number 01,12/8/1992,933,21,96.70881536,C,OMR,Interior
Contra Costa PP Number 01,11/6/2001,898,21,92.77803114,AN,OMR,Interior
Old River North of Rock Slough (St 4b),1/29/1991,878,21,94.90599798,C,OMR,Interior
Old River South of Rock Slough (St 5A),1/4/1991,860,21,93.20280671,C,OMR,Interior
Rock Slough @ Old River,3/12/1991,859,21,78.72735886,C,OMR,Interior
Contra Costa PP Number 01,1/6/2004,784,21,55.58733795,BN,OMR,Interior
Old River North of Rock Slough (St 4b),3/12/1991,779,21,78.72735886,C,OMR,Interior
Contra Costa PP Number 01,12/3/2001,750,21,82.50576236,D,OMR,Interior
Old River near Rock Slough,7/7/1959,716,21,94.29889644,BN,OMR,Interior
Clifton Court Intake,10/23/1990,710,21,94.64630634,D,OMR,Interior
Clifton Court Intake,11/13/1990,689,21,93.89378554,D,OMR,Interior
Middle River @ Union Point - P10A,7/6/2015,667,21,95.81957478,C,OMR,Interior
Contra Costa PP Number 01,12/2/2008,574,21,92.75840841,C,OMR,Interior
Middle River @ Union Point - P10A,1/9/2019,543,21,#N/A,W,OMR,Interior
Middle River at Bacon Island Bridge,1/2/1991,536,21,93.51732212,C,OMR,Interior
Middle River at Bacon Island Bridge,6/9/1992,535,21,88.84783983,C,OMR,Interior
Middle River at Bacon Island Bridge,1/15/1991,501,21,92.72130445,C,OMR,Interior
Middle River @ Union Point - P10A,5/5/2014,483,21,87.63000727,C,OMR,Interior
Middle River at Bacon Island Bridge,10/10/1990,481,21,93.96433834,D,OMR,Interior
Middle River @ Union Point - P10A,4/7/2014,459,21,75.44547873,C,OMR,Interior
Clifton Court Intake,6/22/1994,450,21,89.49535368,C,OMR,Interior
Contra Costa PP Number 01,4/3/2006,428,21,47.97842568,W,OMR,Interior
Contra Costa PP Number 01,5/26/1994,427,21,79.98947042,C,OMR,Interior
Clifton Court Intake,2/17/1994,415,21,75.37363149,C,OMR,Interior
Contra Costa PP Number 01,5/12/1993,410,21,63.16142825,AN,OMR,Interior
Old River South of Rock Slough (St 5A),4/9/1979,409,21,64.68168078,BN,OMR,Interior
Contra Costa PP Number 01,2/7/2005,379,21,66.68285541,AN,OMR,Interior
Middle River at Bacon Island Bridge,1/26/1993,373,21,53.01541285,AN,OMR,Interior
Middle River at Bacon Island Bridge,4/22/1992,335,21,77.19407905,C,OMR,Interior
Contra Costa PP Number 01,11/5/1997,948,20.7,91.80829068,W,OMR,Interior
Rock Slough @ Old River,12/19/1991,967,20,95.49778406,C,OMR,Interior
Rock Slough @ Old River,10/24/1990,960,20,94.04183083,D,OMR,Interior
Old River North of Rock Slough (St 4b),11/28/1990,959,20,92.60675328,D,OMR,Interior
Old River North of Rock Slough (St 4b),12/19/1991,950,20,95.49778406,C,OMR,Interior
Old River North of Rock Slough (St 4b),6/11/1992,934,20,90.14218042,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/24/1990,921,20,94.04183083,D,OMR,Interior
Rock Slough @ Old River,1/2/1991,907,20,93.51732212,C,OMR,Interior
Contra Costa PP Number 01,10/7/1992,900,20,92.45317986,C,OMR,Interior
Contra Costa PP Number 01,6/23/1992,885,20,92.2794422,C,OMR,Interior
Old River North of Rock Slough (St 4b),1/2/1991,880,20,93.51732212,C,OMR,Interior
Contra Costa PP Number 01,11/5/2002,874,20,91.73476989,D,OMR,Interior
Rock Slough @ Old River,1/16/1991,862,20,92.74078739,C,OMR,Interior
Old River North of Rock Slough (St 4b),1/16/1991,861,20,92.74078739,C,OMR,Interior
Contra Costa PP Number 01,9/4/2002,854,20,88.12309273,D,OMR,Interior
Contra Costa PP Number 01,12/13/1994,814,20,82.54298007,C,OMR,Interior
Contra Costa PP Number 01,1/23/1992,732,20,92.69366513,C,OMR,Interior
Middle River @ Union Point - P10A,12/7/2015,710,20,94.9140377,C,OMR,Interior
Old River South of Rock Slough (St 5A),1/6/1988,669,20,87.58232555,C,OMR,Interior
Contra Costa PP Number 01,1/3/2005,640,20,63.06546569,AN,OMR,Interior
Middle River at Bacon Island Bridge,12/11/1991,609,20,94.35994762,C,OMR,Interior
Middle River @ Union Point - P10A,1/4/2016,601,20,89.47617765,BN,OMR,Interior
Contra Costa PP Number 01,12/6/2004,579,20,88.99645057,BN,OMR,Interior
Clifton Court Intake,3/27/1991,548,20,71.68911216,C,OMR,Interior
Middle River at Bacon Island Bridge,11/21/1991,547,20,93.42904814,C,OMR,Interior
Middle River @ Union Point - P10A,1/3/2008,544,20,83.34570353,C,OMR,Interior
Old River South of Rock Slough (St 5A),3/1/1988,540,20,91.84800955,C,OMR,Interior
Middle River @ Union Point - P10A,1/5/2010,466,20,86.26711441,BN,OMR,Interior
Middle River at Bacon Island Bridge,10/20/1994,464,20,92.73586707,AN,OMR,Interior
Middle River at Bacon Island Bridge,1/23/1992,455,20,92.69366513,C,OMR,Interior
Middle River @ Union Point - P10A,11/6/2007,427,20,89.58054651,W,OMR,Interior
Old River South of Rock Slough (St 5A),4/2/1979,417,20,56.30420023,BN,OMR,Interior
Contra Costa PP Number 01,5/6/2008,415,20,81.24308533,C,OMR,Interior
Middle River @ Union Point - P10A,6/4/2007,399,20,80.25338455,D,OMR,Interior
Contra Costa PP Number 01,2/8/1996,397,20,47.52751567,W,OMR,Interior
Rock Slough @ Old River,5/19/1994,395,20,76.51544974,C,OMR,Interior
Middle River at Bacon Island Bridge,6/22/1994,389,20,89.49535368,C,OMR,Interior
Contra Costa PP Number 01,2/8/2000,385,20,57.61717763,AN,OMR,Interior
Contra Costa PP Number 01,4/20/1994,375,20,78.884997,C,OMR,Interior
Middle River @ Union Point - P10A,3/7/2011,372,20,56.35666923,W,OMR,Interior
Contra Costa PP Number 01,3/4/2008,361,20,66.16351777,C,OMR,Interior
Old River South of Rock Slough (St 5A),4/3/1981,360,20,60.26052112,D,OMR,Interior
Middle River @ Union Point - P10A,5/5/2009,358,20,73.26168644,D,OMR,Interior
Rock Slough @ Old River,4/20/1994,357,20,78.884997,C,OMR,Interior
Middle River at Bacon Island Bridge,1/19/1994,356,20,80.49647088,C,OMR,Interior
Clifton Court Intake,1/30/1985,348,20,71.87547462,D,OMR,Interior
Clifton Court Intake,8/10/1993,348,20,70.9026113,AN,OMR,Interior
Clifton Court Intake,2/9/1993,345,20,67.78217395,AN,OMR,Interior
Middle River @ Union Point - P10A,3/10/2016,321,20,62.66343249,BN,OMR,Interior
Middle River at Bacon Island Bridge,2/9/1993,320,20,67.78217395,AN,OMR,Interior
Rock Slough @ Old River,3/23/1993,301,20,56.65439542,AN,OMR,Interior
Middle River at Bacon Island Bridge,4/7/1992,297,20,81.84286737,C,OMR,Interior
Contra Costa PP Number 01,12/9/1991,988,19,94.2937316,C,OMR,Interior
Contra Costa PP Number 01,7/22/1992,905,19,92.3938467,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/17/1990,863,19,93.81403956,D,OMR,Interior
Rock Slough @ Old River,10/17/1990,847,19,93.81403956,D,OMR,Interior
Old River North of Rock Slough (St 4b),10/11/1990,836,19,94.23950241,D,OMR,Interior
Old River North of Rock Slough (St 4b),10/31/1990,832,19,92.89347904,D,OMR,Interior
Rock Slough @ Old River,10/31/1990,828,19,92.89347904,D,OMR,Interior
Rock Slough @ Old River,10/11/1990,816,19,94.23950241,D,OMR,Interior
Rock Slough @ Old River,10/20/1992,811,19,94.16017229,C,OMR,Interior
Old River South of Rock Slough (St 5A),3/3/1989,807,19,93.76129389,D,OMR,Interior
Rock Slough @ Old River,1/23/1992,792,19,92.69366513,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/20/1992,766,19,94.16017229,C,OMR,Interior
Contra Costa PP Number 01,11/1/2004,765,19,83.50140273,AN,OMR,Interior
Old River South of Rock Slough (St 5A),4/1/1990,751,19,92.60495482,C,OMR,Interior
Contra Costa PP Number 01,1/2/2007,704,19,80.23657174,D,OMR,Interior
Middle River @ Union Point - P10A,11/2/2015,675,19,93.88533024,C,OMR,Interior
