Long Station Name,Collection Date,EC,Ca,Sacramento X2,WYT,Location,Area
Middle River @ Union Point - P10A,12/5/2006,341,18,88.65054031,W,OMR,Interior
Middle River @ Union Point - P10A,1/9/2017,338,18,56.18463132,W,OMR,Interior
Middle River at Bacon Island Bridge,6/10/1993,337,18,57.844797,AN,OMR,Interior
Rock Slough @ Old River,5/5/1992,337,18,86.61933596,C,OMR,Interior
Middle River @ Union Point - P10A,6/2/2009,336,18,74.90839371,D,OMR,Interior
Old River South of Rock Slough (St 5A),2/17/1983,336,18,0,W,OMR,Interior
Rock Slough @ Old River,4/8/1992,334,18,79.86326901,C,OMR,Interior
Rock Slough @ Old River,4/22/1992,330,18,77.19407905,C,OMR,Interior
Old River North of Rock Slough (St 4b),4/8/1992,327,18,79.86326901,C,OMR,Interior
Old River South of Rock Slough (St 5A),2/3/1981,325,18,59.47117587,D,OMR,Interior
Clifton Court Intake,3/26/1992,321,18,68.43776556,C,OMR,Interior
Middle River @ Union Point - P10A,4/2/2007,318,18,72.02877378,D,OMR,Interior
Middle River @ Union Point - P10A,7/1/2008,318,18,84.87243383,C,OMR,Interior
Rock Slough @ Old River,3/11/1992,318,18,67.72093556,C,OMR,Interior
Old River South of Rock Slough (St 5A),5/5/1980,318,18,64.64696862,AN,OMR,Interior
Contra Costa PP Number 01,3/5/2007,315,18,58.91442023,D,OMR,Interior
Middle River @ Union Point - P10A,4/7/2009,314,18,75.36176628,D,OMR,Interior
Old River South of Rock Slough (St 5A),4/21/1980,304,18,62.47778168,AN,OMR,Interior
Old River North of Rock Slough (St 4b),1/27/1993,302,18,54.16889291,AN,OMR,Interior
Old River South of Rock Slough (St 5A),2/22/1982,295,18,0,W,OMR,Interior
Middle River at Bacon Island Bridge,4/23/1991,294,18,85.01362795,C,OMR,Interior
Old River South of Rock Slough (St 5A),3/20/1981,294,18,75.19545039,D,OMR,Interior
Middle River at Bacon Island Bridge,3/26/1992,290,18,68.43776556,C,OMR,Interior
Rock Slough @ Old River,9/24/1986,285,18,76.64482557,W,OMR,Interior
Rock Slough @ Old River,1/30/1985,284,18,71.87547462,D,OMR,Interior
Old River South of Rock Slough (St 5A),2/5/1982,275,18,58.92308216,W,OMR,Interior
Contra Costa PP Number 01,10/7/1997,640,17.8,90.04861349,W,OMR,Interior
Rock Slough @ Old River,9/3/1992,933,17,90.77667797,C,OMR,Interior
Contra Costa PP Number 01,10/2/2007,928,17,87.02852586,W,OMR,Interior
Old River North of Rock Slough (St 4b),8/19/1992,915,17,92.0935494,C,OMR,Interior
Rock Slough @ Old River,8/19/1992,901,17,92.0935494,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/7/1992,835,17,92.45317986,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/18/1981,758,17,85.78904211,D,OMR,Interior
Clifton Court Intake,9/24/1992,717,17,92.85385013,C,OMR,Interior
Old River South of Rock Slough (St 5A),2/2/1990,711,17,83.0339583,C,OMR,Interior
Rock Slough @ Old River,6/26/1991,647,17,92.70986559,C,OMR,Interior
Contra Costa PP Number 01,11/3/2008,642,17,93.02142734,D,OMR,Interior
Old River North of Rock Slough (St 4b),6/26/1991,639,17,92.70986559,C,OMR,Interior
Contra Costa PP Number 01,10/2/1990,625,17,92.40360011,D,OMR,Interior
Old River North of Rock Slough (St 4b),10/1/1990,613,17,91.47315676,D,OMR,Interior
Middle River @ Union Point - P10A,9/9/2015,581,17,94.75346141,C,OMR,Interior
Rock Slough @ Old River,3/20/1990,548,17,85.09103604,C,OMR,Interior
Old River South of Rock Slough (St 5A),11/10/1981,545,17,88.94945498,AN,OMR,Interior
Middle River @ Union Point - P10A,10/6/2014,503,17,94.77701545,D,OMR,Interior
Middle River @ Union Point - P10A,8/4/2014,490,17,88.73599436,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/1/1987,458,17,84.03896739,D,OMR,Interior
Middle River @ Union Point - P10A,1/8/2018,456,17,84.74492337,BN,OMR,Interior
Middle River at Bacon Island Bridge,6/28/1991,451,17,91.92518677,C,OMR,Interior
Old River South of Rock Slough (St 5A),11/24/1981,451,17,65.98476899,AN,OMR,Interior
Rock Slough @ Old River,6/22/1994,450,17,89.49535368,C,OMR,Interior
Clifton Court Intake,3/20/1990,404,17,85.09103604,C,OMR,Interior
Middle River at Bacon Island Bridge,10/8/1991,398,17,88.19157893,C,OMR,Interior
Middle River @ Union Point - P10A,4/9/2018,358,17,54.04390508,BN,OMR,Interior
Middle River @ Union Point - P10A,5/7/2018,352,17,64.92049336,BN,OMR,Interior
Contra Costa PP Number 01,5/6/2002,350,17,71.01564345,D,OMR,Interior
Old River South of Rock Slough (St 5A),3/21/1983,338,17,0,W,OMR,Interior
Old River North of Rock Slough (St 4b),5/5/1992,331,17,86.61933596,C,OMR,Interior
Contra Costa PP Number 01,5/6/2003,330,17,51.50084909,AN,OMR,Interior
Middle River at Bacon Island Bridge,7/9/1990,330,17,87.6328401,C,OMR,Interior
Old River North of Rock Slough (St 4b),4/22/1992,325,17,77.19407905,C,OMR,Interior
Old River North of Rock Slough (St 4b),4/9/1991,320,17,70.47185036,C,OMR,Interior
Middle River at Bacon Island Bridge,1/12/1994,311,17,82.38546939,C,OMR,Interior
Middle River at Bacon Island Bridge,4/9/1991,306,17,70.47185036,C,OMR,Interior
Old River North of Rock Slough (St 4b),3/11/1992,302,17,67.72093556,C,OMR,Interior
Middle River at Bacon Island Bridge,10/14/1993,295,17,84.61138109,C,OMR,Interior
Old River South of Rock Slough (St 5A),2/16/1981,279,17,68.66305851,D,OMR,Interior
Old River South of Rock Slough (St 5A),3/4/1981,263,17,75.67405581,D,OMR,Interior
Old River South of Rock Slough (St 5A),4/16/1985,240,17,77.63759448,D,OMR,Interior
Old River North of Rock Slough (St 4b),1/24/1990,804,16,79.66720736,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/2/1981,793,16,89.4339165,D,OMR,Interior
Contra Costa PP Number 01,12/3/2003,724,16,87.61870823,AN,OMR,Interior
Old River South of Rock Slough (St 5A),8/29/1979,717,16,84.68527652,BN,OMR,Interior
Contra Costa PP Number 01,12/5/1996,688,16,78.03491703,W,OMR,Interior
Contra Costa PP Number 01,11/4/2003,673,16,88.40480968,D,OMR,Interior
Rock Slough @ Old River,5/23/1990,660,16,90.30188297,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/10/1991,648,16,92.07471565,C,OMR,Interior
Contra Costa PP Number 01,11/17/1993,647,16,88.13138401,C,OMR,Interior
Rock Slough @ Old River,7/10/1991,630,16,92.07471565,C,OMR,Interior
Old River South of Rock Slough (St 5A),12/17/1985,605,16,77.70271234,D,OMR,Interior
Rock Slough @ Old River,9/25/1990,583,16,91.8739207,C,OMR,Interior
Old River North of Rock Slough (St 4b),9/25/1990,573,16,91.8739207,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/3/1987,564,16,84.30302728,D,OMR,Interior
Old River South of Rock Slough (St 5A),10/14/1981,557,16,89.11569229,AN,OMR,Interior
Contra Costa PP Number 01,10/3/2000,548,16,87.25802224,W,OMR,Interior
Rock Slough @ Old River,9/17/1990,548,16,85.19881494,C,OMR,Interior
Old River North of Rock Slough (St 4b),9/17/1990,544,16,85.19881494,C,OMR,Interior
Contra Costa PP Number 01,9/8/2004,540,16,83.45154489,BN,OMR,Interior
Clifton Court Intake,4/24/1990,532,16,86.79032173,C,OMR,Interior
Old River South of Rock Slough (St 5A),1/16/1986,530,16,84.02165809,W,OMR,Interior
Old River near Rock Slough,9/15/1959,509,16,84.58759953,BN,OMR,Interior
Old River South of Rock Slough (St 5A),7/7/1987,505,16,85.52687347,D,OMR,Interior
Contra Costa PP Number 01,10/3/2005,504,16,81.90521431,BN,OMR,Interior
Clifton Court Intake,9/24/1990,504,16,90.82305445,C,OMR,Interior
Middle River at Bacon Island Bridge,8/19/1992,484,16,92.0935494,C,OMR,Interior
Contra Costa PP Number 01,1/12/1994,482,16,82.38546939,C,OMR,Interior
Contra Costa PP Number 01,11/7/2005,468,16,89.68142253,BN,OMR,Interior
Middle River at Bacon Island Bridge,9/1/1992,465,16,91.88565434,C,OMR,Interior
Contra Costa PP Number 01,12/5/2006,461,16,88.65054031,W,OMR,Interior
Clifton Court Intake,10/20/1994,451,16,92.73586707,AN,OMR,Interior
Rock Slough @ Old River,7/10/1990,449,16,87.75334412,C,OMR,Interior
Middle River @ Union Point - P10A,10/7/2013,430,16,87.90258861,BN,OMR,Interior
Middle River at Bacon Island Bridge,1/24/1990,420,16,79.66720736,C,OMR,Interior
Middle River at Bacon Island Bridge,7/8/1991,414,16,90.66370954,C,OMR,Interior
Middle River at Bacon Island Bridge,9/22/1994,407,16,90.04354307,C,OMR,Interior
Middle River @ Union Point - P10A,12/7/2016,398,16,83.68530205,BN,OMR,Interior
Middle River @ Union Point - P10A,9/2/2008,387,16,88.7732302,C,OMR,Interior
Middle River at Bacon Island Bridge,10/23/1991,365,16,94.27657666,C,OMR,Interior
Middle River @ Union Point - P10A,11/3/2009,352,16,88.3635176,C,OMR,Interior
Middle River @ Union Point - P10A,12/4/2007,348,16,87.28423839,D,OMR,Interior
Middle River @ Union Point - P10A,10/5/2010,340,16,83.98583932,D,OMR,Interior
Contra Costa PP Number 01,6/6/2001,335,16,80.28545946,D,OMR,Interior
Contra Costa PP Number 01,6/4/2002,330,16,69.35185908,D,OMR,Interior
Middle River at Bacon Island Bridge,9/18/1990,327,16,87.49634818,C,OMR,Interior
Contra Costa PP Number 01,4/8/1999,324,16,57.34361395,W,OMR,Interior
Contra Costa PP Number 01,6/4/2007,324,16,80.25338455,D,OMR,Interior
Rock Slough @ Old River,4/9/1991,323,16,70.47185036,C,OMR,Interior
Contra Costa PP Number 01,2/3/2004,322,16,71.8099759,BN,OMR,Interior
Middle River @ Union Point - P10A,12/1/2009,320,16,92.29828513,D,OMR,Interior
Middle River @ Union Point - P10A,6/7/2016,319,16,82.94141541,BN,OMR,Interior
Contra Costa PP Number 01,3/12/1997,314,16,55.67296976,W,OMR,Interior
Contra Costa PP Number 01,6/8/2004,308,16,86.24729429,BN,OMR,Interior
Contra Costa PP Number 01,1/10/1996,303,16,68.97868863,W,OMR,Interior
Middle River at Bacon Island Bridge,7/16/1990,303,16,85.00509504,C,OMR,Interior
Clifton Court Intake,6/4/1986,303,16,70.7018673,W,OMR,Interior
Middle River @ Union Point - P10A,7/2/2007,303,16,80.94470218,D,OMR,Interior
Old River South of Rock Slough (St 5A),4/8/1980,303,16,56.38489514,AN,OMR,Interior
Clifton Court Intake,6/10/1993,301,16,57.844797,AN,OMR,Interior
Contra Costa PP Number 01,4/2/2002,295,16,71.94484474,D,OMR,Interior
Contra Costa PP Number 01,6/4/2003,293,16,66.71648137,AN,OMR,Interior
Contra Costa PP Number 01,6/2/1999,288,16,67.44761682,W,OMR,Interior
Old River South of Rock Slough (St 5A),4/7/1987,285,16,66.96371811,D,OMR,Interior
Clifton Court Intake,5/7/1986,280,16,66.57784182,W,OMR,Interior
Middle River @ Union Point - P10A,11/7/2006,274,16,88.98570418,AN,OMR,Interior
Old River South of Rock Slough (St 5A),2/21/1985,271,16,68.61311727,D,OMR,Interior
Contra Costa PP Number 01,4/21/1993,265,16,62.38347365,AN,OMR,Interior
Old River South of Rock Slough (St 5A),1/22/1985,264,16,72.39109753,D,OMR,Interior
Contra Costa PP Number 01,4/2/2007,255,16,72.02877378,D,OMR,Interior
Middle River @ Union Point - P10A,10/3/2006,253,16,79.15994988,AN,OMR,Interior
Old River South of Rock Slough (St 5A),1/5/1982,240,16,0,W,OMR,Interior
Middle River at Bacon Island Bridge,7/25/1989,200,16,80.02863026,D,OMR,Interior
Middle River @ Union Point - P10A,3/13/2019,278,15.9,#N/A,W,OMR,Interior
Middle River @ Union Point - P10A,12/3/2018,408,15.6,#N/A,BN,OMR,Interior
Middle River @ Union Point - P10A,10/11/2018,407,15.5,#N/A,W,OMR,Interior
Rock Slough @ Old River,8/25/1994,805,15,90.48799198,C,OMR,Interior
Contra Costa PP Number 01,9/11/1991,782,15,92.53683095,C,OMR,Interior
Rock Slough @ Old River,9/26/1991,741,15,89.13268814,C,OMR,Interior
Old River North of Rock Slough (St 4b),9/26/1991,705,15,89.13268814,C,OMR,Interior
Contra Costa PP Number 01,8/23/1994,703,15,91.93258472,C,OMR,Interior
Contra Costa PP Number 01,8/21/1991,699,15,88.57096592,C,OMR,Interior
Contra Costa PP Number 01,7/20/1994,666,15,90.6143213,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/23/1991,665,15,94.27657666,C,OMR,Interior
Old River South of Rock Slough (St 5A),10/22/1985,639,15,91.1066811,W,OMR,Interior
Rock Slough @ Old River,10/23/1991,637,15,94.27657666,C,OMR,Interior
Rock Slough @ Old River,10/20/1994,636,15,92.73586707,AN,OMR,Interior
Rock Slough @ Old River,8/7/1990,635,15,84.4251127,C,OMR,Interior
Contra Costa PP Number 01,10/7/2003,604,15,88.64679121,D,OMR,Interior
Clifton Court Intake,8/25/1994,597,15,90.48799198,C,OMR,Interior
Rock Slough @ Old River,7/24/1991,596,15,92.78926842,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/24/1991,595,15,92.78926842,C,OMR,Interior
Old River North of Rock Slough (St 4b),8/7/1990,595,15,84.4251127,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/13/1979,592,15,83.32246149,BN,OMR,Interior
Contra Costa PP Number 01,10/23/1991,585,15,94.27657666,C,OMR,Interior
Contra Costa PP Number 01,12/16/1993,566,15,82.70555681,AN,OMR,Interior
Rock Slough @ Old River,10/10/1991,554,15,88.47167384,C,OMR,Interior
Old River North of Rock Slough (St 4b),9/11/1990,527,15,86.1336185,C,OMR,Interior
Rock Slough @ Old River,9/11/1990,510,15,86.1336185,C,OMR,Interior
Contra Costa PP Number 01,11/7/1996,495,15,84.27562766,W,OMR,Interior
Clifton Court Intake,12/15/1993,490,15,84.34978841,AN,OMR,Interior
Old River near Rock Slough,9/15/1959,486,15,84.58759953,BN,OMR,Interior
Clifton Court Intake,9/10/1991,469,15,92.73110822,C,OMR,Interior
Contra Costa PP Number 01,10/20/1993,458,15,84.89979461,C,OMR,Interior
Clifton Court Intake,7/25/1990,457,15,87.85147172,C,OMR,Interior
Middle River @ Union Point - P10A,9/2/2014,452,15,90.3346038,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/16/1990,450,15,85.00509504,C,OMR,Interior
Rock Slough @ Old River,7/16/1990,441,15,85.00509504,C,OMR,Interior
Contra Costa PP Number 01,7/7/2004,430,15,83.05294294,BN,OMR,Interior
Contra Costa PP Number 01,9/6/2005,418,15,83.07162013,AN,OMR,Interior
Middle River at Bacon Island Bridge,8/5/1991,415,15,91.32485805,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/10/1990,408,15,87.75334412,C,OMR,Interior
Middle River at Bacon Island Bridge,7/24/1991,404,15,92.78926842,C,OMR,Interior
Old River near Rock Slough,10/1/1959,396,15,78.11676896,W,OMR,Interior
Middle River @ Union Point - P10A,10/4/2016,387,15,86.5637221,C,OMR,Interior
Contra Costa PP Number 01,10/5/1993,368,15,83.89162437,C,OMR,Interior
Middle River at Bacon Island Bridge,7/20/1994,365,15,90.6143213,C,OMR,Interior
Middle River at Bacon Island Bridge,9/24/1991,365,15,90.17385402,C,OMR,Interior
Middle River @ Union Point - P10A,11/5/2018,362,15,#N/A,W,OMR,Interior
Middle River @ Union Point - P10A,11/7/2016,353,15,87.41045331,C,OMR,Interior
Old River near Rock Slough,10/1/1959,352,15,78.11676896,W,OMR,Interior
Middle River @ Union Point - P10A,9/9/2009,345,15,84.37552482,D,OMR,Interior
Rock Slough @ Old River,1/12/1994,341,15,82.38546939,C,OMR,Interior
Old River North of Rock Slough (St 4b),1/12/1994,337,15,82.38546939,C,OMR,Interior
Middle River @ Union Point - P10A,10/2/2007,335,15,87.02852586,W,OMR,Interior
Middle River @ Union Point - P10A,11/3/2010,334,15,84.63274041,D,OMR,Interior
Contra Costa PP Number 01,5/10/1995,307,15,49.34111805,W,OMR,Interior
Clifton Court Intake,3/4/1986,306,15,0,W,OMR,Interior
Middle River at Bacon Island Bridge,12/15/1993,305,15,84.34978841,AN,OMR,Interior
Middle River @ Union Point - P10A,8/5/2008,304,15,88.35573476,C,OMR,Interior
Middle River at Bacon Island Bridge,9/10/1990,302,15,83.68375569,C,OMR,Interior
Contra Costa PP Number 01,6/4/1997,294,15,78.50514499,W,OMR,Interior
Contra Costa PP Number 01,12/2/1998,289,15,64.89739823,W,OMR,Interior
Contra Costa PP Number 01,7/1/2008,287,15,84.87243383,C,OMR,Interior
Middle River at Bacon Island Bridge,10/20/1993,287,15,84.89979461,C,OMR,Interior
Clifton Court Intake,10/14/1993,287,15,84.61138109,C,OMR,Interior
Old River South of Rock Slough (St 5A),5/4/1987,284,15,81.35372487,D,OMR,Interior
Old River near Rock Slough,10/30/1959,281,15,83.58656463,W,OMR,Interior
Old River South of Rock Slough (St 5A),1/20/1983,281,15,63.15136317,W,OMR,Interior
Old River South of Rock Slough (St 5A),5/19/1980,277,15,62.05980719,AN,OMR,Interior
Middle River at Bacon Island Bridge,9/21/1993,275,15,80.87356521,AN,OMR,Interior
Contra Costa PP Number 01,4/10/1997,272,15,73.77999403,W,OMR,Interior
Contra Costa PP Number 01,10/3/2006,272,15,79.15994988,AN,OMR,Interior
Old River South of Rock Slough (St 5A),3/15/1985,266,15,71.66117266,D,OMR,Interior
Middle River @ Union Point - P10A,8/2/2006,261,15,78.28975195,W,OMR,Interior
Middle River @ Union Point - P10A,2/6/2017,258,15,50.46962633,W,OMR,Interior
Old River South of Rock Slough (St 5A),12/18/1981,254,15,56.1313435,D,OMR,Interior
Middle River @ Union Point - P10A,4/4/2011,247,15,0,W,OMR,Interior
Middle River @ Union Point - P10A,12/4/2017,246,15,83.87250454,W,OMR,Interior
Contra Costa PP Number 01,4/6/2004,238,15,69.18983307,BN,OMR,Interior
Old River South of Rock Slough (St 5A),4/23/1981,226,15,75.00542927,D,OMR,Interior
Old River South of Rock Slough (St 5A),1/2/1980,223,15,63.56656112,AN,OMR,Interior
Old River North of Rock Slough (St 4b),4/21/1993,212,15,62.38347365,AN,OMR,Interior
Middle River @ Union Point - P10A,9/10/2018,346,14.4,84.8982076,BN,OMR,Interior
Rock Slough @ Old River,9/12/1991,722,14,88.08357466,C,OMR,Interior
Old River North of Rock Slough (St 4b),9/12/1991,702,14,88.08357466,C,OMR,Interior
Rock Slough @ Old River,7/20/1994,692,14,90.6143213,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/20/1994,690,14,90.6143213,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/18/1981,628,14,87.20292234,D,OMR,Interior
Rock Slough @ Old River,7/26/1990,572,14,86.56430395,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/10/1991,563,14,88.47167384,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/3/1981,553,14,85.40012999,D,OMR,Interior
Old River North of Rock Slough (St 4b),8/21/1991,551,14,88.57096592,C,OMR,Interior
Rock Slough @ Old River,7/31/1990,547,14,85.26138636,C,OMR,Interior
Rock Slough @ Old River,8/7/1991,546,14,92.52821793,C,OMR,Interior
Old River North of Rock Slough (St 4b),8/7/1991,539,14,92.52821793,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/31/1990,533,14,85.26138636,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/26/1990,524,14,86.56430395,C,OMR,Interior
Contra Costa PP Number 01,8/5/2008,492,14,88.35573476,C,OMR,Interior
Rock Slough @ Old River,9/5/1990,483,14,86.59648732,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/4/1990,479,14,85.84737194,C,OMR,Interior
Old River North of Rock Slough (St 4b),9/5/1990,474,14,86.59648732,C,OMR,Interior
Contra Costa PP Number 01,8/3/2004,470,14,81.28623188,BN,OMR,Interior
Old River North of Rock Slough (St 4b),8/28/1990,464,14,84.07314596,C,OMR,Interior
Old River North of Rock Slough (St 4b),8/22/1990,463,14,83.47764088,C,OMR,Interior
Rock Slough @ Old River,8/28/1990,461,14,84.07314596,C,OMR,Interior
Old River South of Rock Slough (St 5A),7/31/1979,455,14,81.75511799,BN,OMR,Interior
Old River North of Rock Slough (St 4b),10/20/1993,436,14,84.89979461,C,OMR,Interior
Rock Slough @ Old River,10/20/1993,425,14,84.89979461,C,OMR,Interior
Clifton Court Intake,11/10/1993,418,14,87.72748074,C,OMR,Interior
Contra Costa PP Number 01,1/5/1994,403,14,81.23635172,C,OMR,Interior
Clifton Court Intake,8/21/1990,397,14,82.94560259,C,OMR,Interior
Contra Costa PP Number 01,9/10/2003,388,14,81.97587927,AN,OMR,Interior
Rock Slough @ Old River,6/26/1990,377,14,87.03302324,C,OMR,Interior
Middle River @ Union Point - P10A,9/5/2007,364,14,85.25541551,D,OMR,Interior
Old River North of Rock Slough (St 4b),7/25/1989,350,14,80.02863026,D,OMR,Interior
Middle River at Bacon Island Bridge,4/25/1990,349,14,87.22990049,C,OMR,Interior
Middle River at Bacon Island Bridge,8/21/1991,347,14,88.57096592,C,OMR,Interior
Middle River at Bacon Island Bridge,8/25/1994,336,14,90.48799198,C,OMR,Interior
Middle River @ Union Point - P10A,12/6/2010,321,14,84.27592276,BN,OMR,Interior
Old River South of Rock Slough (St 5A),9/15/1980,312,14,76.57711741,AN,OMR,Interior
Middle River @ Union Point - P10A,9/7/2010,294,14,86.84207092,BN,OMR,Interior
Middle River at Bacon Island Bridge,9/4/1990,293,14,85.84737194,C,OMR,Interior
Middle River at Bacon Island Bridge,11/10/1993,293,14,87.72748074,C,OMR,Interior
Middle River @ Union Point - P10A,6/8/2010,288,14,67.97063022,BN,OMR,Interior
Middle River at Bacon Island Bridge,7/26/1990,286,14,86.56430395,C,OMR,Interior
Middle River at Bacon Island Bridge,7/30/1990,281,14,85.42890232,C,OMR,Interior
Contra Costa PP Number 01,6/6/1996,277,14,61.33562885,W,OMR,Interior
Old River South of Rock Slough (St 5A),5/27/1980,277,14,65.09270984,AN,OMR,Interior
Middle River @ Union Point - P10A,1/3/2011,274,14,53.33698971,W,OMR,Interior
Contra Costa PP Number 01,9/2/1997,269,14,77.2650624,W,OMR,Interior
Middle River at Bacon Island Bridge,8/22/1990,269,14,83.47764088,C,OMR,Interior
Old River South of Rock Slough (St 5A),5/12/1981,269,14,80.86307077,D,OMR,Interior
Contra Costa PP Number 01,5/2/2007,268,14,74.44600721,D,OMR,Interior
Old River South of Rock Slough (St 5A),2/14/1980,266,14,67.64537101,AN,OMR,Interior
Old River South of Rock Slough (St 5A),9/26/1980,265,14,76.604144,AN,OMR,Interior
Contra Costa PP Number 01,7/2/2007,264,14,80.94470218,D,OMR,Interior
Old River South of Rock Slough (St 5A),3/19/1984,261,14,57.98189429,W,OMR,Interior
Rock Slough at Delta Road Bridge,6/6/2011,259,14,57.57300551,W,OMR,Interior
Middle River @ Union Point - P10A,6/6/2011,257,14,57.57300551,W,OMR,Interior
Contra Costa PP Number 01,6/7/2005,256,14,54.24209382,AN,OMR,Interior
Contra Costa PP Number 01,6/6/2000,254,14,72.94579268,AN,OMR,Interior
Contra Costa PP Number 01,6/8/1993,250,14,57.7015985,AN,OMR,Interior
Old River South of Rock Slough (St 5A),4/16/1984,238,14,68.44196634,W,OMR,Interior
Contra Costa PP Number 01,3/6/2006,232,14,50.66954548,W,OMR,Interior
Middle River @ Union Point - P10A,7/7/2009,228,14,82.06398554,D,OMR,Interior
Old River South of Rock Slough (St 5A),1/20/1981,227,14,84.3665229,D,OMR,Interior
Old River South of Rock Slough (St 5A),6/16/1980,221,14,68.91440792,AN,OMR,Interior
Old River South of Rock Slough (St 5A),6/23/1980,221,14,68.0228655,AN,OMR,Interior
Rock Slough @ Old River,4/21/1993,211,14,62.38347365,AN,OMR,Interior
Old River South of Rock Slough (St 5A),1/6/1981,209,14,79.42709404,D,OMR,Interior
Contra Costa PP Number 01,9/5/2007,812,13,85.25541551,D,OMR,Interior
Rock Slough @ Old River,8/21/1991,550,13,88.57096592,C,OMR,Interior
Rock Slough @ Old River,8/13/1990,508,13,82.37363354,C,OMR,Interior
Old River North of Rock Slough (St 4b),8/13/1990,504,13,82.37363354,C,OMR,Interior
Rock Slough @ Old River,8/22/1990,477,13,83.47764088,C,OMR,Interior
Old River South of Rock Slough (St 5A),7/19/1979,395,13,82.51114931,BN,OMR,Interior
Middle River at Bacon Island Bridge,9/10/1991,323,13,92.73110822,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/9/1986,308,13,80.98620884,W,OMR,Interior
Contra Costa PP Number 01,11/7/2006,302,13,88.98570418,AN,OMR,Interior
Old River South of Rock Slough (St 5A),9/3/1980,293,13,80.90049445,AN,OMR,Interior
Middle River @ Union Point - P10A,9/7/2016,288,13,84.03725468,BN,OMR,Interior
Old River South of Rock Slough (St 5A),6/30/1981,287,13,87.70223073,D,OMR,Interior
Contra Costa PP Number 01,9/23/1993,285,13,83.44869348,AN,OMR,Interior
Middle River @ Union Point - P10A,6/5/2018,284,13,74.73149108,BN,OMR,Interior
Old River South of Rock Slough (St 5A),7/3/1989,282,13,84.23126759,D,OMR,Interior
Middle River @ Union Point - P10A,8/6/2007,277,13,84.7182393,D,OMR,Interior
Middle River at Bacon Island Bridge,8/27/1990,267,13,83.52017111,C,OMR,Interior
Contra Costa PP Number 01,7/2/2002,262,13,80.39099747,D,OMR,Interior
Old River South of Rock Slough (St 5A),6/22/1982,253,13,65.44959567,W,OMR,Interior
Contra Costa PP Number 01,7/1/1997,249,13,78.99333076,W,OMR,Interior
Middle River @ Union Point - P10A,7/9/2018,246,13,82.60710477,BN,OMR,Interior
Clifton Court Intake,9/21/1993,245,13,80.87356521,AN,OMR,Interior
Old River South of Rock Slough (St 5A),3/26/1980,244,13,56.84018254,AN,OMR,Interior
Old River South of Rock Slough (St 5A),6/18/1981,243,13,80.97126487,D,OMR,Interior
Middle River @ Union Point - P10A,7/6/2010,241,13,80.72423904,BN,OMR,Interior
Old River South of Rock Slough (St 5A),5/16/1985,241,13,77.45709937,D,OMR,Interior
Middle River @ Union Point - P10A,9/6/2006,240,13,78.70958184,W,OMR,Interior
Old River South of Rock Slough (St 5A),12/14/1982,240,13,58.19292799,W,OMR,Interior
Old River South of Rock Slough (St 5A),10/6/1980,236,13,77.15999944,BN,OMR,Interior
Contra Costa PP Number 01,5/4/2004,233,13,76.25300399,BN,OMR,Interior
Old River South of Rock Slough (St 5A),5/20/1986,233,13,69.94743635,W,OMR,Interior
Old River South of Rock Slough (St 5A),6/2/1981,232,13,75.30547237,D,OMR,Interior
Old River South of Rock Slough (St 5A),6/10/1980,230,13,69.27641079,AN,OMR,Interior
Contra Costa PP Number 01,7/3/2000,229,13,80.70368222,AN,OMR,Interior
Old River South of Rock Slough (St 5A),2/29/1980,227,13,49.08867267,AN,OMR,Interior
Rock Slough @ Old River,7/2/1986,225,13,77.07568175,W,OMR,Interior
Old River South of Rock Slough (St 5A),11/24/1980,225,13,79.91615184,BN,OMR,Interior
Old River South of Rock Slough (St 5A),12/5/1980,220,13,81.24381742,AN,OMR,Interior
Middle River @ Union Point - P10A,8/7/2017,217,13,80.74384873,W,OMR,Interior
Old River South of Rock Slough (St 5A),12/4/1979,216,13,75.2791345,BN,OMR,Interior
Contra Costa PP Number 01,7/8/1999,211,13,73.33227294,W,OMR,Interior
Old River South of Rock Slough (St 5A),3/15/1982,207,13,49.23180133,W,OMR,Interior
Old River South of Rock Slough (St 5A),12/16/1980,205,13,70.43542093,AN,OMR,Interior
Middle River at Bacon Island Bridge,7/8/1993,203,13,75.05380959,AN,OMR,Interior
Old River South of Rock Slough (St 5A),5/7/1979,203,13,74.48111623,BN,OMR,Interior
