Long Station Name,Collection Date,EC,Br,Sacramento X2,WYT,Location,Area
Middle River @ Union Point - P10A,8/1/2016,207,0.08,83.57049111,BN,SouthDelta,Interior
Contra Costa PP Number 01,10/14/1998,208,0.04,70.16642583,W,OMR,Interior
Contra Costa PP Number 01,7/8/1999,211,0.05,73.33227294,W,OMR,Interior
Rock Slough @ Old River,4/21/1993,211,0.04,62.38347365,AN,OMR,Interior
Old River North of Rock Slough (St 4b),9/1/1993,212,0.08,78.41118016,AN,OMR,Interior
Old River North of Rock Slough (St 4b),4/21/1993,212,0.04,62.38347365,AN,OMR,Interior
Contra Costa PP Number 01,12/6/1995,213,0.05,79.32528838,W,OMR,Interior
Contra Costa PP Number 01,6/14/1995,214,0.07,58.38588799,W,OMR,Interior
Rock Slough @ Old River,9/1/1993,216,0.08,78.41118016,AN,OMR,Interior
Middle River @ Union Point - P10A,8/7/2017,217,0.07,80.74384873,W,OMR,Interior
Middle River @ Union Point - P10A,8/7/2017,217,0.07,80.74384873,W,SouthDelta,Interior
Contra Costa PP Number 01,8/5/1999,218,0.06,71.77110367,W,OMR,Interior
San Joaquin River @ Mossdale Bridge - C7A,7/20/1995,218,0.06,58.74876866,W,SJRcorridor,Interior
San Joaquin River at Prisoner's Point,3/24/2009,219.7,0.05,67.79671251,D,SJRcorridor,Interior
San Joaquin River @ Mossdale Bridge - C7A,12/12/1996,220,0.04,67.9766535,W,SJRcorridor,Interior
Middle River @ Union Point - P10A,7/6/2016,222,0.07,84.55059684,BN,OMR,Interior
Middle River @ Union Point - P10A,7/6/2016,222,0.07,84.55059684,BN,SouthDelta,Interior
Little Connection Sl. @ Empire Tr.,1/12/1994,227,0.05,82.38546939,C,SJRcorridor,Interior
Middle River @ Union Point - P10A,7/7/2009,228,0.1,82.06398554,D,OMR,Interior
Middle River @ Union Point - P10A,7/7/2009,228,0.1,82.06398554,D,SouthDelta,Interior
Contra Costa PP Number 01,7/3/2000,229,0.05,80.70368222,AN,OMR,Interior
Little Connection Sl. @ Empire Tr.,4/22/1992,231,0.04,77.19407905,C,SJRcorridor,Interior
Contra Costa PP Number 01,3/6/2006,232,0.05,50.66954548,W,OMR,Interior
Little Connection Sl. @ Empire Tr.,10/7/1992,232,0.06,92.45317986,C,SJRcorridor,Interior
Contra Costa PP Number 01,7/8/1998,233,0.06,56.61660003,W,OMR,Interior
Contra Costa PP Number 01,5/4/2004,233,0.04,76.25300399,BN,OMR,Interior
Little Connection Sl. @ Empire Tr.,4/20/1994,236,0.06,78.884997,C,SJRcorridor,Interior
Old River @ Middle River,6/9/1998,236,0.07,51.89782644,W,SouthDelta,Interior
Contra Costa PP Number 01,4/6/2004,238,0.03,69.18983307,BN,OMR,Interior
Middle River @ Union Point - P10A,9/6/2006,240,0.08,78.70958184,W,OMR,Interior
San Joaquin River @ Mossdale Bridge - C7A,6/22/1995,240,0.08,57.6171137,W,SJRcorridor,Interior
Middle River @ Union Point - P10A,9/6/2006,240,0.08,78.70958184,W,SouthDelta,Interior
Middle River @ Union Point - P10A,7/6/2010,241,0.07,80.72423904,BN,OMR,Interior
Middle River @ Union Point - P10A,7/6/2010,241,0.07,80.72423904,BN,SouthDelta,Interior
Contra Costa PP Number 01,8/2/2000,244,0.07,77.4197889,AN,OMR,Interior
Grant Ln Can @ Tracy Rd Bdg,10/20/1993,244,0.08,84.89979461,C,SouthDelta,Interior
Clifton Court Intake,9/21/1993,245,0.08,80.87356521,AN,OMR,Interior
Little Connection Sl. @ Empire Tr.,8/21/1991,245,0.09,88.57096592,C,SJRcorridor,Interior
San Joaquin River @ Mossdale Bridge - C7A,10/20/1993,245,0.07,84.89979461,C,SJRcorridor,Interior
