Long Station Name,Collection Date,EC,Cl,Sacramento X2,WYT,Location,Area
Contra Costa PP Number 01,12/9/1991,988,233,94.2937316,C,OMR,Interior
Rock Slough @ Old River,9/22/1994,988,232,90.04354307,C,OMR,Interior
Contra Costa PP Number 01,11/9/1994,988,229,92.63852791,AN,OMR,Interior
Old River South of Rock Slough (St 5A),1/6/1977,988,227,92.67386711,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/24/1972,970,224,93.34177705,BN,OMR,Interior
Old River South of Rock Slough (St 5A),6/25/1972,970,223,93.79838621,BN,OMR,Interior
Rock Slough @ Old River,12/19/1991,967,215,95.49778406,C,OMR,Interior
Rock Slough @ Old River,12/3/1985,965,228,86.18528925,D,OMR,Interior
Rock Slough @ Old River,1/24/1990,962,222,79.66720736,C,OMR,Interior
Rock Slough @ Old River,10/24/1990,960,226,94.04183083,D,OMR,Interior
Old River North of Rock Slough (St 4b),11/28/1990,959,220,92.60675328,D,OMR,Interior
Rock Slough @ Old River,9/6/1988,950,229,89.33894643,C,OMR,Interior
Rock Slough @ Old River,12/13/1988,950,229,93.59676781,C,OMR,Interior
Old River North of Rock Slough (St 4b),12/19/1991,950,215,95.49778406,C,OMR,Interior
Rock Slough @ Old River,11/28/1990,949,214,92.60675328,D,OMR,Interior
Contra Costa PP Number 01,11/5/1997,948,205,91.80829068,W,OMR,Interior
Rock Slough @ Old River,6/11/1992,947,217,90.14218042,C,OMR,Interior
Contra Costa PP Number 01,11/17/1992,943,216,94.87189975,C,OMR,Interior
Contra Costa PP Number 01,2/6/2001,943,168,82.30525912,D,OMR,Interior
Old River near Rock Slough,8/18/1959,937,125,93.54824528,BN,OMR,Interior
Contra Costa PP Number 01,9/20/1994,935,227,92.37559029,C,OMR,Interior
Old River North of Rock Slough (St 4b),6/11/1992,934,214,90.14218042,C,OMR,Interior
Rock Slough @ Old River,9/3/1992,933,224,90.77667797,C,OMR,Interior
Contra Costa PP Number 01,12/8/1992,933,210,96.70881536,C,OMR,Interior
Old River North of Rock Slough (St 4b),9/3/1992,930,222,90.77667797,C,OMR,Interior
Contra Costa PP Number 01,10/2/2007,928,213,87.02852586,W,OMR,Interior
Rock Slough @ Old River,10/4/1988,925,211,93.17402995,D,OMR,Interior
Rock Slough @ Old River,9/9/1987,923,210,89.37303316,D,OMR,Interior
Old River North of Rock Slough (St 4b),10/24/1990,921,216,94.04183083,D,OMR,Interior
Contra Costa PP Number 01,1/6/1998,920,167,80.42409534,W,OMR,Interior
Old River South of Rock Slough (St 5A),6/28/1972,919,208,93.50734356,BN,OMR,Interior
Old River North of Rock Slough (St 4b),8/19/1992,915,218,92.0935494,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/22/1992,909,216,92.3938467,C,OMR,Interior
Rock Slough @ Old River,1/2/1991,907,207,93.51732212,C,OMR,Interior
Old River North of Rock Slough (St 4b),4/25/1990,905,211,87.22990049,C,OMR,Interior
Contra Costa PP Number 01,7/22/1992,905,208,92.3938467,C,OMR,Interior
Contra Costa PP Number 01,8/19/1992,904,208,92.0935494,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/28/1972,904,205,93.50734356,BN,OMR,Interior
Old River South of Rock Slough (St 5A),12/15/1976,902,197,94.22153803,C,OMR,Interior
Rock Slough @ Old River,8/19/1992,901,212,92.0935494,C,OMR,Interior
Contra Costa PP Number 01,10/7/1992,900,205,92.45317986,C,OMR,Interior
Rock Slough @ Old River,7/22/1992,899,214,92.3938467,C,OMR,Interior
Contra Costa PP Number 01,11/6/2001,898,186,92.77803114,AN,OMR,Interior
Contra Costa PP Number 01,3/7/1996,898,113,46.46251523,W,OMR,Interior
Rock Slough @ Old River,1/29/1991,897,199,94.90599798,C,OMR,Interior
Contra Costa PP Number 01,10/7/1999,892,148,85.55971154,W,OMR,Interior
Contra Costa PP Number 01,6/23/1992,885,196,92.2794422,C,OMR,Interior
Contra Costa PP Number 01,9/22/1992,882,212,92.38888101,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/12/1979,882,200,86.66490009,BN,OMR,Interior
Old River South of Rock Slough (St 5A),2/1/1991,881,194,94.15033685,C,OMR,Interior
Old River North of Rock Slough (St 4b),1/2/1991,880,198,93.51732212,C,OMR,Interior
Contra Costa PP Number 01,2/5/1998,879,130,41.15155574,W,OMR,Interior
Rock Slough @ Old River,8/6/1992,878,211,92.5804813,C,OMR,Interior
Old River North of Rock Slough (St 4b),1/29/1991,878,195,94.90599798,C,OMR,Interior
Clifton Court Intake,12/10/1992,875,149,95.44056579,C,OMR,Interior
Contra Costa PP Number 01,11/5/2002,874,181,91.73476989,D,OMR,Interior
Rock Slough @ Old River,10/22/1987,871,201,91.14974166,W,OMR,Interior
Contra Costa PP Number 01,10/1/2008,870,201,88.30977329,D,OMR,Interior
Rock Slough @ Old River,4/25/1990,864,195,87.22990049,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/17/1990,863,193,93.81403956,D,OMR,Interior
Rock Slough @ Old River,1/16/1991,862,190,92.74078739,C,OMR,Interior
Old River North of Rock Slough (St 4b),1/16/1991,861,187,92.74078739,C,OMR,Interior
Old River South of Rock Slough (St 5A),1/4/1991,860,191,93.20280671,C,OMR,Interior
Old River North of Rock Slough (St 4b),11/14/1990,859,194,93.90716742,D,OMR,Interior
Rock Slough @ Old River,3/12/1991,859,184,78.72735886,C,OMR,Interior
Contra Costa PP Number 01,9/4/2002,854,185,88.12309273,D,OMR,Interior
Clifton Court Intake,12/11/1990,853,185,93.08539402,C,OMR,Interior
Rock Slough @ Old River,8/9/1988,852,216,85.21737303,C,OMR,Interior
Rock Slough @ Old River,3/7/1989,852,192,84.84379302,D,OMR,Interior
Contra Costa PP Number 01,12/3/2002,850,153,93.0185482,D,OMR,Interior
Rock Slough @ Old River,10/7/1992,849,195,92.45317986,C,OMR,Interior
Rock Slough @ Old River,11/14/1990,848,191,93.90716742,D,OMR,Interior
Rock Slough @ Old River,10/17/1990,847,191,93.81403956,D,OMR,Interior
Clifton Court Intake,12/8/1987,847,182,91.62950094,D,OMR,Interior
Clifton Court Intake,11/1/1988,844,141,93.73518208,D,OMR,Interior
Old River North of Rock Slough (St 4b),8/6/1992,840,200,92.5804813,C,OMR,Interior
Clifton Court Intake,2/27/1991,840,177,95.15255136,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/11/1990,836,187,94.23950241,D,OMR,Interior
Contra Costa PP Number 01,11/19/1991,836,186,93.6335894,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/7/1992,835,190,92.45317986,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/31/1990,832,183,92.89347904,D,OMR,Interior
Rock Slough @ Old River,10/31/1990,828,180,92.89347904,D,OMR,Interior
Clifton Court Intake,2/7/1989,827,178,91.45347248,D,OMR,Interior
Old River South of Rock Slough (St 5A),6/24/1972,818,180,93.34177705,BN,OMR,Interior
Rock Slough @ Old River,10/11/1990,816,178,94.23950241,D,OMR,Interior
Contra Costa PP Number 01,12/13/1994,814,178,82.54298007,C,OMR,Interior
Old River South of Rock Slough (St 5A),1/20/1977,813,172,91.05034635,C,OMR,Interior
Contra Costa PP Number 01,9/5/2007,812,208,85.25541551,D,OMR,Interior
Rock Slough @ Old River,7/9/1992,812,184,91.63677332,C,OMR,Interior
Rock Slough @ Old River,10/20/1992,811,178,94.16017229,C,OMR,Interior
Rock Slough @ Old River,12/5/1989,810,183,82.38805208,D,OMR,Interior
Clifton Court Intake,12/11/1991,810,158,94.35994762,C,OMR,Interior
Old River South of Rock Slough (St 5A),3/3/1989,807,174,93.76129389,D,OMR,Interior
Rock Slough @ Old River,8/25/1994,805,192,90.48799198,C,OMR,Interior
Old River North of Rock Slough (St 4b),1/24/1990,804,180,79.66720736,C,OMR,Interior
Contra Costa PP Number 01,3/11/1993,801,111,59.02850507,AN,OMR,Interior
Old River North of Rock Slough (St 4b),7/9/1992,795,179,91.63677332,C,OMR,Interior
Contra Costa PP Number 01,2/3/2009,794,166,84.30493265,D,OMR,Interior
Old River South of Rock Slough (St 5A),9/2/1981,793,172,89.4339165,D,OMR,Interior
Contra Costa PP Number 01,2/24/1992,793,150,66.71267132,C,OMR,Interior
Rock Slough @ Old River,1/23/1992,792,176,92.69366513,C,OMR,Interior
Clifton Court Intake,4/24/1991,792,116,86.48122671,C,OMR,Interior
Rock Slough @ Old River,7/12/1988,787,179,93.34172739,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/27/1972,786,154,94.28595728,BN,OMR,Interior
Clifton Court Intake,6/27/1990,786,132,84.4854239,C,OMR,Interior
Contra Costa PP Number 01,1/6/2004,784,166,55.58733795,BN,OMR,Interior
Contra Costa PP Number 01,9/11/1991,782,166,92.53683095,C,OMR,Interior
Old River North of Rock Slough (St 4b),3/12/1991,779,163,78.72735886,C,OMR,Interior
Clifton Court Intake,10/22/1987,777,165,91.14974166,W,OMR,Interior
Rock Slough @ Old River,9/25/1985,776,164,87.74760658,D,OMR,Interior
Middle River @ Union Point - P10A,2/3/2014,774,152,93.92384943,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/20/1992,766,164,94.16017229,C,OMR,Interior
Contra Costa PP Number 01,11/1/2004,765,154,83.50140273,AN,OMR,Interior
Old River South of Rock Slough (St 5A),9/18/1981,758,159,85.78904211,D,OMR,Interior
Rock Slough @ Old River,1/7/1988,755,160,82.88953214,C,OMR,Interior
Rock Slough @ Old River,1/10/1989,755,159,86.91861449,D,OMR,Interior
Contra Costa PP Number 01,3/6/2001,753,99,70.05240742,D,OMR,Interior
Old River South of Rock Slough (St 5A),4/1/1990,751,160,92.60495482,C,OMR,Interior
Contra Costa PP Number 01,12/3/2001,750,145,82.50576236,D,OMR,Interior
Old River near Rock Slough,7/7/1959,749,160,94.29889644,BN,OMR,Interior
Old River South of Rock Slough (St 5A),12/3/1976,749,153,93.43920522,C,OMR,Interior
Contra Costa PP Number 01,9/2/2008,744,162,88.7732302,C,OMR,Interior
Clifton Court Intake,12/3/1985,744,162,86.18528925,D,OMR,Interior
Rock Slough @ Old River,9/26/1991,741,162,89.13268814,C,OMR,Interior
Rock Slough @ Old River,10/23/1985,738,158,88.74296201,W,OMR,Interior
Old River South of Rock Slough (St 5A),9/29/1976,737,161,88.66226543,C,OMR,Interior
Clifton Court Intake,11/19/1992,737,149,93.66767375,C,OMR,Interior
Contra Costa PP Number 01,1/23/1992,732,156,92.69366513,C,OMR,Interior
Clifton Court Intake,1/31/1991,731,146,94.0793962,C,OMR,Interior
Contra Costa PP Number 01,10/6/2004,730,152,80.20091081,AN,OMR,Interior
Clifton Court Intake,3/9/1993,730,94,59.04059358,AN,OMR,Interior
Clifton Court Intake,3/24/1987,730,91,61.48523734,D,OMR,Interior
Clifton Court Intake,12/13/1988,726,154,93.59676781,C,OMR,Interior
Middle River @ Union Point - P10A,3/3/2014,725,129,80.57624471,C,OMR,Interior
Contra Costa PP Number 01,12/3/2003,724,159,87.61870823,AN,OMR,Interior
Clifton Court Intake,6/25/1992,724,146,90.85817896,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/5/1986,723,92,80.38588581,W,OMR,Interior
Rock Slough @ Old River,9/12/1991,722,159,88.08357466,C,OMR,Interior
Old River North of Rock Slough (St 4b),6/13/1991,719,148,92.96709129,C,OMR,Interior
Clifton Court Intake,9/24/1992,717,161,92.85385013,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/29/1979,717,149,84.68527652,BN,OMR,Interior
Old River near Rock Slough,7/7/1959,716,152,94.29889644,BN,OMR,Interior
Rock Slough @ Old River,6/13/1991,713,147,92.96709129,C,OMR,Interior
Clifton Court Intake,9/6/1988,713,131,89.33894643,C,OMR,Interior
Old River South of Rock Slough (St 5A),2/2/1990,711,151,83.0339583,C,OMR,Interior
Rock Slough @ Old River,3/3/1988,711,144,90.73493039,C,OMR,Interior
Middle River @ Union Point - P10A,12/7/2015,710,145,94.9140377,C,OMR,Interior
Clifton Court Intake,10/23/1990,710,138,94.64630634,D,OMR,Interior
Contra Costa PP Number 01,1/17/1995,709,118,46.35508675,W,OMR,Interior
Contra Costa PP Number 01,6/24/1991,705,155,92.83977948,C,OMR,Interior
Old River North of Rock Slough (St 4b),9/26/1991,705,149,89.13268814,C,OMR,Interior
Contra Costa PP Number 01,1/2/2007,704,156,80.23657174,D,OMR,Interior
Contra Costa PP Number 01,1/3/2006,703,171,0,W,OMR,Interior
Contra Costa PP Number 01,8/23/1994,703,164,91.93258472,C,OMR,Interior
Old River North of Rock Slough (St 4b),9/12/1991,702,156,88.08357466,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/26/1972,700,150,93.98192603,BN,OMR,Interior
Contra Costa PP Number 01,8/21/1991,699,145,88.57096592,C,OMR,Interior
Middle River @ Union Point - P10A,6/1/2015,697,136,93.2549537,C,OMR,Interior
Rock Slough @ Old River,7/20/1994,692,160,90.6143213,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/20/1994,690,156,90.6143213,C,OMR,Interior
Clifton Court Intake,11/13/1990,689,134,93.89378554,D,OMR,Interior
Clifton Court Intake,11/21/1991,688,141,93.42904814,C,OMR,Interior
Contra Costa PP Number 01,12/5/1996,688,136,78.03491703,W,OMR,Interior
Middle River at Bacon Island Bridge,12/10/1992,686,133,95.44056579,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/25/1979,685,142,82.86895876,BN,OMR,Interior
Clifton Court Intake,11/15/1985,679,143,93.05986008,W,OMR,Interior
Rock Slough @ Old River,4/5/1988,679,139,85.25427643,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/22/1972,676,142,87.68398736,BN,OMR,Interior
Middle River @ Union Point - P10A,11/2/2015,675,135,93.88533024,C,OMR,Interior
Contra Costa PP Number 01,11/4/2003,673,144,88.40480968,D,OMR,Interior
Clifton Court Intake,4/5/1988,672,120,85.25427643,C,OMR,Interior
Old River South of Rock Slough (St 5A),1/6/1988,669,137,87.58232555,C,OMR,Interior
Contra Costa PP Number 01,11/7/2000,668,141,84.3926938,W,OMR,Interior
Old River South of Rock Slough (St 5A),8/3/1976,668,138,85.66917278,C,OMR,Interior
Middle River @ Union Point - P10A,7/6/2015,667,134,95.81957478,C,OMR,Interior
Clifton Court Intake,9/22/1994,667,132,90.04354307,C,OMR,Interior
Contra Costa PP Number 01,7/20/1994,666,148,90.6143213,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/23/1991,665,138,94.27657666,C,OMR,Interior
Contra Costa PP Number 01,8/5/2002,665,134,83.27712196,D,OMR,Interior
Contra Costa PP Number 01,4/1/2003,663,71,69.81194277,AN,OMR,Interior
Rock Slough @ Old River,5/23/1990,660,141,90.30188297,C,OMR,Interior
Contra Costa PP Number 01,12/5/2005,660,132,82.80590189,AN,OMR,Interior
Middle River at Bacon Island Bridge,10/30/1990,656,103,93.26510574,D,OMR,Interior
Clifton Court Intake,1/10/1989,655,128,86.91861449,D,OMR,Interior
Clifton Court Intake,5/23/1990,654,132,90.30188297,C,OMR,Interior
Contra Costa PP Number 01,3/7/2005,654,80,57.47547175,AN,OMR,Interior
Old River North of Rock Slough (St 4b),7/10/1991,648,135,92.07471565,C,OMR,Interior
Middle River @ Union Point - P10A,8/3/2015,648,132,95.38511805,C,OMR,Interior
Contra Costa PP Number 01,11/17/1993,647,142,88.13138401,C,OMR,Interior
Rock Slough @ Old River,6/26/1991,647,133,92.70986559,C,OMR,Interior
Clifton Court Intake,9/9/1987,646,133,89.37303316,D,OMR,Interior
Rock Slough @ Old River,7/20/1994,645,156,90.6143213,C,OMR,Interior
Old River near Rock Slough,9/2/1959,644,132,91.96611223,BN,OMR,Interior
Contra Costa PP Number 01,11/3/2008,642,131,93.02142734,D,OMR,Interior
Contra Costa PP Number 01,1/3/2005,640,147,63.06546569,AN,OMR,Interior
Contra Costa PP Number 01,10/7/1997,640,119,90.04861349,W,OMR,Interior
Old River South of Rock Slough (St 5A),10/22/1985,639,134,91.1066811,W,OMR,Interior
Old River North of Rock Slough (St 4b),6/26/1991,639,131,92.70986559,C,OMR,Interior
Rock Slough @ Old River,11/7/1989,638,135,87.11334397,C,OMR,Interior
Rock Slough @ Old River,10/23/1991,637,133,94.27657666,C,OMR,Interior
Rock Slough @ Old River,10/20/1994,636,128,92.73586707,AN,OMR,Interior
Rock Slough @ Old River,8/7/1990,635,138,84.4251127,C,OMR,Interior
Contra Costa PP Number 01,4/10/1995,635,76,50.51772825,W,OMR,Interior
