Long Station Name,Collection Date,EC,Mg,Sacramento X2,WYT,Location,Area
Clifton Court Intake,2/21/1990,472,13,80.12996718,C,OMR,Interior
Clifton Court Intake,6/27/1984,472,13,78.52956136,W,OMR,Interior
Clifton Court Intake,9/10/1991,469,13,92.73110822,C,OMR,Interior
Middle River at Bacon Island Bridge,4/8/1993,465,13,54.30864006,AN,OMR,Interior
Middle River at Bacon Island Bridge,9/1/1992,465,13,91.88565434,C,OMR,Interior
Middle River at Bacon Island Bridge,10/20/1994,464,13,92.73586707,AN,OMR,Interior
Middle River @ Union Point - P10A,11/4/2013,463,13,90.34617646,BN,OMR,Interior
Contra Costa PP Number 01,2/5/2008,462,13,54.87619201,C,OMR,Interior
Contra Costa PP Number 01,12/5/2006,461,13,88.65054031,W,OMR,Interior
Middle River @ Union Point - P10A,5/3/2016,461,13,75.47029728,BN,OMR,Interior
Middle River @ Union Point - P10A,10/1/2008,461,13,88.30977329,D,OMR,Interior
Middle River @ Union Point - P10A,2/6/2007,460,13,79.89948567,D,OMR,Interior
Contra Costa PP Number 01,1/6/1999,459,13,64.63920091,W,OMR,Interior
Middle River at Bacon Island Bridge,8/6/1990,458,13,86.53798294,C,OMR,Interior
Contra Costa PP Number 01,2/6/2007,456,13,79.89948567,D,OMR,Interior
Middle River @ Union Point - P10A,2/5/2008,456,13,54.87619201,C,OMR,Interior
Contra Costa PP Number 01,5/5/1999,451,13,57.23000982,W,OMR,Interior
Clifton Court Intake,10/20/1994,451,13,92.73586707,AN,OMR,Interior
Old River South of Rock Slough (St 5A),11/24/1981,451,13,65.98476899,AN,OMR,Interior
Clifton Court Intake,6/22/1994,450,13,89.49535368,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/16/1990,450,13,85.00509504,C,OMR,Interior
Middle River at Bacon Island Bridge,4/21/1993,440,13,62.38347365,AN,OMR,Interior
Contra Costa PP Number 01,5/26/1994,427,13,79.98947042,C,OMR,Interior
Middle River at Bacon Island Bridge,1/13/1993,423,13,64.09402935,AN,OMR,Interior
Middle River at Bacon Island Bridge,3/25/1993,416,13,54.90975845,AN,OMR,Interior
Clifton Court Intake,2/17/1994,415,13,75.37363149,C,OMR,Interior
Middle River at Bacon Island Bridge,7/8/1991,414,13,90.66370954,C,OMR,Interior
Contra Costa PP Number 01,5/12/1993,410,13,63.16142825,AN,OMR,Interior
Old River near Rock Slough,10/1/1959,396,13,78.11676896,W,OMR,Interior
Contra Costa PP Number 01,2/5/2002,385,13,70.70857903,D,OMR,Interior
Contra Costa PP Number 01,4/20/1994,375,13,78.884997,C,OMR,Interior
Middle River @ Union Point - P10A,3/4/2008,374,13,66.16351777,C,OMR,Interior
Contra Costa PP Number 01,4/22/1992,362,13,77.19407905,C,OMR,Interior
Contra Costa PP Number 01,3/4/2008,361,13,66.16351777,C,OMR,Interior
Middle River at Bacon Island Bridge,5/21/1991,359,13,91.14886705,C,OMR,Interior
Middle River @ Union Point - P10A,2/4/2019,411,12.6,#N/A,W,OMR,Interior
Rock Slough @ Old River,8/13/1990,508,12,82.37363354,C,OMR,Interior
Old River North of Rock Slough (St 4b),8/13/1990,504,12,82.37363354,C,OMR,Interior
Clifton Court Intake,12/15/1993,490,12,84.34978841,AN,OMR,Interior
Middle River @ Union Point - P10A,1/2/2007,490,12,80.23657174,D,OMR,Interior
Contra Costa PP Number 01,1/12/1994,482,12,82.38546939,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/4/1990,479,12,85.84737194,C,OMR,Interior
Rock Slough @ Old River,8/22/1990,477,12,83.47764088,C,OMR,Interior
Old River North of Rock Slough (St 4b),9/5/1990,474,12,86.59648732,C,OMR,Interior
Contra Costa PP Number 01,11/7/2005,468,12,89.68142253,BN,OMR,Interior
Old River South of Rock Slough (St 5A),2/5/1979,468,12,64.2815478,BN,OMR,Interior
Old River North of Rock Slough (St 4b),8/28/1990,464,12,84.07314596,C,OMR,Interior
Old River North of Rock Slough (St 4b),8/22/1990,463,12,83.47764088,C,OMR,Interior
Rock Slough @ Old River,8/28/1990,461,12,84.07314596,C,OMR,Interior
Contra Costa PP Number 01,10/20/1993,458,12,84.89979461,C,OMR,Interior
Clifton Court Intake,7/25/1990,457,12,87.85147172,C,OMR,Interior
Clifton Court Intake,5/13/1993,456,12,61.911538,AN,OMR,Interior
Middle River @ Union Point - P10A,1/8/2018,456,12,84.74492337,BN,OMR,Interior
Middle River @ Union Point - P10A,9/2/2014,452,12,90.3346038,C,OMR,Interior
Rock Slough @ Old River,6/22/1994,450,12,89.49535368,C,OMR,Interior
Middle River @ Union Point - P10A,11/3/2008,443,12,93.02142734,D,OMR,Interior
Rock Slough @ Old River,7/16/1990,441,12,85.00509504,C,OMR,Interior
Middle River at Bacon Island Bridge,10/2/1990,437,12,92.40360011,D,OMR,Interior
Middle River @ Union Point - P10A,6/2/2014,436,12,93.56618111,C,OMR,Interior
Middle River @ Union Point - P10A,10/7/2013,430,12,87.90258861,BN,OMR,Interior
Contra Costa PP Number 01,4/3/2006,428,12,47.97842568,W,OMR,Interior
Contra Costa PP Number 01,1/9/1997,427,12,31.8495819,W,OMR,Interior
Middle River @ Union Point - P10A,11/6/2007,427,12,89.58054651,W,OMR,Interior
Old River South of Rock Slough (St 5A),12/3/1981,423,12,52.53667998,D,OMR,Interior
Middle River at Bacon Island Bridge,1/24/1990,420,12,79.66720736,C,OMR,Interior
Middle River at Bacon Island Bridge,8/5/1991,415,12,91.32485805,C,OMR,Interior
Middle River at Bacon Island Bridge,5/13/1993,411,12,61.911538,AN,OMR,Interior
Middle River @ Union Point - P10A,10/6/2009,411,12,87.99178837,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/10/1990,408,12,87.75334412,C,OMR,Interior
Contra Costa PP Number 01,6/16/1994,407,12,86.55672415,C,OMR,Interior
Middle River at Bacon Island Bridge,9/22/1994,407,12,90.04354307,C,OMR,Interior
Middle River at Bacon Island Bridge,7/24/1991,404,12,92.78926842,C,OMR,Interior
Clifton Court Intake,3/20/1990,404,12,85.09103604,C,OMR,Interior
Clifton Court Intake,4/8/1993,400,12,54.30864006,AN,OMR,Interior
Middle River at Bacon Island Bridge,10/8/1991,398,12,88.19157893,C,OMR,Interior
Rock Slough @ Old River,5/19/1994,395,12,76.51544974,C,OMR,Interior
Contra Costa PP Number 01,4/4/2000,391,12,70.46558651,AN,OMR,Interior
Middle River at Bacon Island Bridge,6/22/1994,389,12,89.49535368,C,OMR,Interior
Contra Costa PP Number 01,2/9/1994,388,12,80.94524586,C,OMR,Interior
Middle River @ Union Point - P10A,9/2/2008,387,12,88.7732302,C,OMR,Interior
Contra Costa PP Number 01,2/8/2000,385,12,57.61717763,AN,OMR,Interior
Contra Costa PP Number 01,5/2/2000,381,12,63.70366373,AN,OMR,Interior
Rock Slough @ Old River,2/17/1994,370,12,75.37363149,C,OMR,Interior
Clifton Court Intake,1/19/1994,367,12,80.49647088,C,OMR,Interior
Contra Costa PP Number 01,6/2/2008,366,12,81.73068377,C,OMR,Interior
Contra Costa PP Number 01,2/10/1993,361,12,66.22571537,AN,OMR,Interior
Middle River @ Union Point - P10A,5/5/2009,358,12,73.26168644,D,OMR,Interior
Rock Slough @ Old River,4/20/1994,357,12,78.884997,C,OMR,Interior
Old River near Rock Slough,10/1/1959,352,12,78.11676896,W,OMR,Interior
Old River North of Rock Slough (St 4b),4/20/1994,348,12,78.884997,C,OMR,Interior
Contra Costa PP Number 01,4/4/2001,341,12,72.87905364,D,OMR,Interior
Rock Slough @ Old River,5/5/1992,337,12,86.61933596,C,OMR,Interior
Middle River at Bacon Island Bridge,4/22/1992,335,12,77.19407905,C,OMR,Interior
Rock Slough @ Old River,4/8/1992,334,12,79.86326901,C,OMR,Interior
Old River North of Rock Slough (St 4b),5/5/1992,331,12,86.61933596,C,OMR,Interior
Rock Slough @ Old River,4/22/1992,330,12,77.19407905,C,OMR,Interior
Rock Slough @ Old River,3/24/1994,328,12,72.52425966,C,OMR,Interior
Old River North of Rock Slough (St 4b),4/8/1992,327,12,79.86326901,C,OMR,Interior
Old River North of Rock Slough (St 4b),4/22/1992,325,12,77.19407905,C,OMR,Interior
Contra Costa PP Number 01,3/13/1995,322,12,37.53111646,W,OMR,Interior
Clifton Court Intake,3/26/1992,321,12,68.43776556,C,OMR,Interior
Old River North of Rock Slough (St 4b),4/9/1991,320,12,70.47185036,C,OMR,Interior
Middle River at Bacon Island Bridge,4/7/1992,297,12,81.84286737,C,OMR,Interior
Contra Costa PP Number 01,8/6/2007,492,11,84.7182393,D,OMR,Interior
Contra Costa PP Number 01,8/3/2004,470,11,81.28623188,BN,OMR,Interior
Old River South of Rock Slough (St 5A),7/31/1979,455,11,81.75511799,BN,OMR,Interior
Old River North of Rock Slough (St 4b),10/20/1993,436,11,84.89979461,C,OMR,Interior
Old River South of Rock Slough (St 5A),11/15/1983,427,11,59.86273225,W,OMR,Interior
Rock Slough @ Old River,10/20/1993,425,11,84.89979461,C,OMR,Interior
Contra Costa PP Number 01,9/6/2005,418,11,83.07162013,AN,OMR,Interior
Clifton Court Intake,11/10/1993,418,11,87.72748074,C,OMR,Interior
Old River South of Rock Slough (St 5A),4/2/1979,417,11,56.30420023,BN,OMR,Interior
Old River South of Rock Slough (St 5A),4/9/1979,409,11,64.68168078,BN,OMR,Interior
Contra Costa PP Number 01,1/5/1994,403,11,81.23635172,C,OMR,Interior
Middle River @ Union Point - P10A,2/5/2018,402,11,74.06112596,BN,OMR,Interior
Middle River @ Union Point - P10A,6/4/2007,399,11,80.25338455,D,OMR,Interior
Middle River @ Union Point - P10A,12/7/2016,398,11,83.68530205,BN,OMR,Interior
Clifton Court Intake,8/21/1990,397,11,82.94560259,C,OMR,Interior
Contra Costa PP Number 01,9/10/2003,388,11,81.97587927,AN,OMR,Interior
Middle River @ Union Point - P10A,10/4/2016,387,11,86.5637221,C,OMR,Interior
Rock Slough @ Old River,6/26/1990,377,11,87.03302324,C,OMR,Interior
Middle River at Bacon Island Bridge,1/26/1993,373,11,53.01541285,AN,OMR,Interior
Contra Costa PP Number 01,10/5/1993,368,11,83.89162437,C,OMR,Interior
Middle River at Bacon Island Bridge,9/24/1990,368,11,90.82305445,C,OMR,Interior
Middle River at Bacon Island Bridge,7/20/1994,365,11,90.6143213,C,OMR,Interior
Middle River at Bacon Island Bridge,9/24/1991,365,11,90.17385402,C,OMR,Interior
Middle River at Bacon Island Bridge,10/23/1991,365,11,94.27657666,C,OMR,Interior
Old River South of Rock Slough (St 5A),4/3/1981,360,11,60.26052112,D,OMR,Interior
Middle River at Bacon Island Bridge,1/19/1994,356,11,80.49647088,C,OMR,Interior
Contra Costa PP Number 01,2/3/1999,352,11,51.6298188,W,OMR,Interior
Contra Costa PP Number 01,5/6/2002,350,11,71.01564345,D,OMR,Interior
Old River North of Rock Slough (St 4b),7/25/1989,350,11,80.02863026,D,OMR,Interior
Contra Costa PP Number 01,5/3/2005,346,11,60.83995013,AN,OMR,Interior
Clifton Court Intake,2/9/1993,345,11,67.78217395,AN,OMR,Interior
Middle River @ Union Point - P10A,9/9/2009,345,11,84.37552482,D,OMR,Interior
Old River near Rock Slough,10/30/1959,345,11,83.58656463,W,OMR,Interior
Middle River @ Union Point - P10A,12/5/2006,341,11,88.65054031,W,OMR,Interior
Rock Slough @ Old River,1/12/1994,341,11,82.38546939,C,OMR,Interior
Old River North of Rock Slough (St 4b),1/12/1994,337,11,82.38546939,C,OMR,Interior
Middle River @ Union Point - P10A,6/2/2009,336,11,74.90839371,D,OMR,Interior
Contra Costa PP Number 01,5/6/2003,330,11,51.50084909,AN,OMR,Interior
Middle River @ Union Point - P10A,4/7/2016,328,11,66.37589317,BN,OMR,Interior
Rock Slough @ Old River,4/9/1991,323,11,70.47185036,C,OMR,Interior
Contra Costa PP Number 01,2/3/2004,322,11,71.8099759,BN,OMR,Interior
Middle River @ Union Point - P10A,3/10/2016,321,11,62.66343249,BN,OMR,Interior
Middle River @ Union Point - P10A,7/1/2008,318,11,84.87243383,C,OMR,Interior
Rock Slough @ Old River,3/11/1992,318,11,67.72093556,C,OMR,Interior
Contra Costa PP Number 01,3/5/2007,315,11,58.91442023,D,OMR,Interior
Middle River @ Union Point - P10A,4/7/2009,314,11,75.36176628,D,OMR,Interior
Old River North of Rock Slough (St 4b),3/11/1992,302,11,67.72093556,C,OMR,Interior
Rock Slough @ Old River,3/23/1993,301,11,56.65439542,AN,OMR,Interior
Middle River at Bacon Island Bridge,4/23/1991,294,11,85.01362795,C,OMR,Interior
Rock Slough @ Old River,2/18/1993,290,11,59.5796831,AN,OMR,Interior
Old River North of Rock Slough (St 4b),3/23/1993,288,11,56.65439542,AN,OMR,Interior
Middle River @ Union Point - P10A,10/11/2018,407,10.9,#N/A,W,OMR,Interior
Middle River @ Union Point - P10A,9/10/2018,346,10.1,84.8982076,BN,OMR,Interior
Contra Costa PP Number 01,7/7/2004,430,10,83.05294294,BN,OMR,Interior
Middle River @ Union Point - P10A,12/3/2018,408,10,#N/A,BN,OMR,Interior
Middle River @ Union Point - P10A,5/4/2010,400,10,57.05251942,BN,OMR,Interior
Old River South of Rock Slough (St 5A),7/19/1979,395,10,82.51114931,BN,OMR,Interior
Middle River @ Union Point - P10A,3/7/2011,372,10,56.35666923,W,OMR,Interior
Old River South of Rock Slough (St 5A),7/16/1981,366,10,87.76825037,D,OMR,Interior
Middle River @ Union Point - P10A,9/5/2007,364,10,85.25541551,D,OMR,Interior
Contra Costa PP Number 01,5/13/1997,363,10,71.63203277,W,OMR,Interior
Middle River @ Union Point - P10A,4/9/2018,358,10,54.04390508,BN,OMR,Interior
Middle River @ Union Point - P10A,11/7/2016,353,10,87.41045331,C,OMR,Interior
Middle River @ Union Point - P10A,11/3/2009,352,10,88.3635176,C,OMR,Interior
Middle River at Bacon Island Bridge,4/25/1990,349,10,87.22990049,C,OMR,Interior
Clifton Court Intake,1/30/1985,348,10,71.87547462,D,OMR,Interior
Middle River @ Union Point - P10A,12/4/2007,348,10,87.28423839,D,OMR,Interior
Middle River at Bacon Island Bridge,8/21/1991,347,10,88.57096592,C,OMR,Interior
Middle River @ Union Point - P10A,5/2/2007,346,10,74.44600721,D,OMR,Interior
Middle River @ Union Point - P10A,10/5/2010,340,10,83.98583932,D,OMR,Interior
Middle River @ Union Point - P10A,1/9/2017,338,10,56.18463132,W,OMR,Interior
Middle River at Bacon Island Bridge,8/25/1994,336,10,90.48799198,C,OMR,Interior
Contra Costa PP Number 01,6/6/2001,335,10,80.28545946,D,OMR,Interior
Middle River @ Union Point - P10A,10/2/2007,335,10,87.02852586,W,OMR,Interior
Middle River at Bacon Island Bridge,7/9/1990,330,10,87.6328401,C,OMR,Interior
Middle River at Bacon Island Bridge,9/18/1990,327,10,87.49634818,C,OMR,Interior
Old River South of Rock Slough (St 5A),2/3/1981,325,10,59.47117587,D,OMR,Interior
Contra Costa PP Number 01,4/8/1999,324,10,57.34361395,W,OMR,Interior
Contra Costa PP Number 01,6/4/2007,324,10,80.25338455,D,OMR,Interior
Middle River at Bacon Island Bridge,9/10/1991,323,10,92.73110822,C,OMR,Interior
Middle River at Bacon Island Bridge,2/9/1993,320,10,67.78217395,AN,OMR,Interior
Middle River @ Union Point - P10A,12/1/2009,320,10,92.29828513,D,OMR,Interior
Middle River @ Union Point - P10A,4/2/2007,318,10,72.02877378,D,OMR,Interior
Middle River at Bacon Island Bridge,1/12/1994,311,10,82.38546939,C,OMR,Interior
Contra Costa PP Number 01,6/8/2004,308,10,86.24729429,BN,OMR,Interior
Old River South of Rock Slough (St 5A),9/9/1986,308,10,80.98620884,W,OMR,Interior
Middle River at Bacon Island Bridge,4/9/1991,306,10,70.47185036,C,OMR,Interior
Middle River @ Union Point - P10A,8/5/2008,304,10,88.35573476,C,OMR,Interior
Contra Costa PP Number 01,1/10/1996,303,10,68.97868863,W,OMR,Interior
Middle River at Bacon Island Bridge,7/16/1990,303,10,85.00509504,C,OMR,Interior
Middle River at Bacon Island Bridge,9/10/1990,302,10,83.68375569,C,OMR,Interior
Old River North of Rock Slough (St 4b),1/27/1993,302,10,54.16889291,AN,OMR,Interior
Contra Costa PP Number 01,4/2/2002,295,10,71.94484474,D,OMR,Interior
Rock Slough @ Old River,1/27/1993,294,10,54.16889291,AN,OMR,Interior
Middle River at Bacon Island Bridge,9/4/1990,293,10,85.84737194,C,OMR,Interior
Middle River at Bacon Island Bridge,3/26/1992,290,10,68.43776556,C,OMR,Interior
Contra Costa PP Number 01,7/1/2008,287,10,84.87243383,C,OMR,Interior
Rock Slough @ Old River,1/30/1985,284,10,71.87547462,D,OMR,Interior
Old River South of Rock Slough (St 5A),5/4/1987,284,10,81.35372487,D,OMR,Interior
Old River near Rock Slough,10/30/1959,281,10,83.58656463,W,OMR,Interior
Contra Costa PP Number 01,10/3/2006,272,10,79.15994988,AN,OMR,Interior
Old River South of Rock Slough (St 5A),2/21/1985,271,10,68.61311727,D,OMR,Interior
Old River South of Rock Slough (St 5A),9/16/1983,248,10,64.13561458,W,OMR,Interior
Old River South of Rock Slough (St 5A),4/16/1985,240,10,77.63759448,D,OMR,Interior
Middle River @ Union Point - P10A,11/5/2018,362,9,#N/A,W,OMR,Interior
Old River South of Rock Slough (St 5A),5/12/1980,358,9,65.43895548,AN,OMR,Interior
Middle River @ Union Point - P10A,5/7/2018,352,9,64.92049336,BN,OMR,Interior
Clifton Court Intake,8/10/1993,348,9,70.9026113,AN,OMR,Interior
Old River South of Rock Slough (St 5A),4/16/1982,348,9,0,W,OMR,Interior
Middle River at Bacon Island Bridge,6/10/1993,337,9,57.844797,AN,OMR,Interior
Middle River @ Union Point - P10A,2/7/2011,334,9,64.18410148,W,OMR,Interior
Middle River @ Union Point - P10A,11/3/2010,334,9,84.63274041,D,OMR,Interior
Contra Costa PP Number 01,6/4/2002,330,9,69.35185908,D,OMR,Interior
Middle River @ Union Point - P10A,12/6/2010,321,9,84.27592276,BN,OMR,Interior
Middle River @ Union Point - P10A,6/7/2016,319,9,82.94141541,BN,OMR,Interior
Old River South of Rock Slough (St 5A),5/5/1980,318,9,64.64696862,AN,OMR,Interior
Old River South of Rock Slough (St 5A),9/15/1980,312,9,76.57711741,AN,OMR,Interior
Contra Costa PP Number 01,5/10/1995,307,9,49.34111805,W,OMR,Interior
Middle River at Bacon Island Bridge,12/15/1993,305,9,84.34978841,AN,OMR,Interior
Middle River @ Union Point - P10A,7/2/2007,303,9,80.94470218,D,OMR,Interior
Contra Costa PP Number 01,11/7/2006,302,9,88.98570418,AN,OMR,Interior
Old River South of Rock Slough (St 5A),6/20/1985,302,9,86.18412719,D,OMR,Interior
Clifton Court Intake,6/10/1993,301,9,57.844797,AN,OMR,Interior
Middle River at Bacon Island Bridge,8/13/1990,296,9,82.37363354,C,OMR,Interior
Middle River at Bacon Island Bridge,10/14/1993,295,9,84.61138109,C,OMR,Interior
Old River South of Rock Slough (St 5A),2/22/1982,295,9,0,W,OMR,Interior
Contra Costa PP Number 01,6/4/1997,294,9,78.50514499,W,OMR,Interior
Middle River @ Union Point - P10A,9/7/2010,294,9,86.84207092,BN,OMR,Interior
Old River South of Rock Slough (St 5A),3/20/1981,294,9,75.19545039,D,OMR,Interior
Contra Costa PP Number 01,6/4/2003,293,9,66.71648137,AN,OMR,Interior
Middle River at Bacon Island Bridge,11/10/1993,293,9,87.72748074,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/3/1980,293,9,80.90049445,AN,OMR,Interior
Contra Costa PP Number 01,12/2/1998,289,9,64.89739823,W,OMR,Interior
Contra Costa PP Number 01,6/2/1999,288,9,67.44761682,W,OMR,Interior
Middle River @ Union Point - P10A,9/7/2016,288,9,84.03725468,BN,OMR,Interior
Old River South of Rock Slough (St 5A),6/30/1981,287,9,87.70223073,D,OMR,Interior
Middle River at Bacon Island Bridge,7/26/1990,286,9,86.56430395,C,OMR,Interior
Contra Costa PP Number 01,9/23/1993,285,9,83.44869348,AN,OMR,Interior
Rock Slough @ Old River,9/24/1986,285,9,76.64482557,W,OMR,Interior
Old River South of Rock Slough (St 5A),4/7/1987,285,9,66.96371811,D,OMR,Interior
Middle River at Bacon Island Bridge,7/30/1990,281,9,85.42890232,C,OMR,Interior
Old River South of Rock Slough (St 5A),2/16/1981,279,9,68.66305851,D,OMR,Interior
Contra Costa PP Number 01,6/6/1996,277,9,61.33562885,W,OMR,Interior
Old River South of Rock Slough (St 5A),2/5/1982,275,9,58.92308216,W,OMR,Interior
Contra Costa PP Number 01,9/2/1997,269,9,77.2650624,W,OMR,Interior
Middle River at Bacon Island Bridge,8/22/1990,269,9,83.47764088,C,OMR,Interior
Old River South of Rock Slough (St 5A),5/12/1981,269,9,80.86307077,D,OMR,Interior
Contra Costa PP Number 01,5/2/2007,268,9,74.44600721,D,OMR,Interior
Middle River at Bacon Island Bridge,8/27/1990,267,9,83.52017111,C,OMR,Interior
Old River South of Rock Slough (St 5A),3/15/1985,266,9,71.66117266,D,OMR,Interior
Contra Costa PP Number 01,4/21/1993,265,9,62.38347365,AN,OMR,Interior
Old River South of Rock Slough (St 5A),9/26/1980,265,9,76.604144,AN,OMR,Interior
Contra Costa PP Number 01,7/2/2007,264,9,80.94470218,D,OMR,Interior
Old River South of Rock Slough (St 5A),1/22/1985,264,9,72.39109753,D,OMR,Interior
Old River South of Rock Slough (St 5A),3/4/1981,263,9,75.67405581,D,OMR,Interior
Contra Costa PP Number 01,4/2/2007,255,9,72.02877378,D,OMR,Interior
Old River South of Rock Slough (St 5A),1/5/1982,240,9,0,W,OMR,Interior
Contra Costa PP Number 01,4/6/2004,238,9,69.18983307,BN,OMR,Interior
Old River South of Rock Slough (St 5A),10/6/1980,236,9,77.15999944,BN,OMR,Interior
Old River near Rock Slough,6/19/1959,318,8.9,91.43818578,BN,OMR,Interior
Old River near Rock Slough,6/19/1959,327,8.6,91.43818578,BN,OMR,Interior
Contra Costa PP Number 01,8/5/2003,348,8,69.2729812,AN,OMR,Interior
Old River South of Rock Slough (St 5A),3/21/1983,338,8,0,W,OMR,Interior
Old River South of Rock Slough (St 5A),2/17/1983,336,8,0,W,OMR,Interior
Contra Costa PP Number 01,3/12/1997,314,8,55.67296976,W,OMR,Interior
Old River South of Rock Slough (St 5A),4/21/1980,304,8,62.47778168,AN,OMR,Interior
Clifton Court Intake,6/4/1986,303,8,70.7018673,W,OMR,Interior
Old River South of Rock Slough (St 5A),4/8/1980,303,8,56.38489514,AN,OMR,Interior
Contra Costa PP Number 01,10/3/1996,292,8,81.93439648,W,OMR,Interior
Middle River @ Union Point - P10A,6/8/2010,288,8,67.97063022,BN,OMR,Interior
Middle River at Bacon Island Bridge,10/20/1993,287,8,84.89979461,C,OMR,Interior
Clifton Court Intake,10/14/1993,287,8,84.61138109,C,OMR,Interior
Contra Costa PP Number 01,9/5/1996,283,8,73.8076039,W,OMR,Interior
Old River South of Rock Slough (St 5A),7/3/1989,282,8,84.23126759,D,OMR,Interior
Old River South of Rock Slough (St 5A),1/20/1983,281,8,63.15136317,W,OMR,Interior
Middle River @ Union Point - P10A,3/13/2019,278,8,#N/A,W,OMR,Interior
Middle River @ Union Point - P10A,8/6/2007,277,8,84.7182393,D,OMR,Interior
Middle River at Bacon Island Bridge,9/21/1993,275,8,80.87356521,AN,OMR,Interior
Middle River @ Union Point - P10A,11/7/2006,274,8,88.98570418,AN,OMR,Interior
Contra Costa PP Number 01,4/10/1997,272,8,73.77999403,W,OMR,Interior
Contra Costa PP Number 01,8/6/1997,267,8,77.35304839,W,OMR,Interior
Contra Costa PP Number 01,7/2/2002,262,8,80.39099747,D,OMR,Interior
Old River South of Rock Slough (St 5A),3/19/1984,261,8,57.98189429,W,OMR,Interior
Contra Costa PP Number 01,6/6/2000,254,8,72.94579268,AN,OMR,Interior
Old River South of Rock Slough (St 5A),12/18/1981,254,8,56.1313435,D,OMR,Interior
Middle River @ Union Point - P10A,10/3/2006,253,8,79.15994988,AN,OMR,Interior
Contra Costa PP Number 01,6/8/1993,250,8,57.7015985,AN,OMR,Interior
Old River South of Rock Slough (St 5A),11/6/1979,250,8,80.35169489,AN,OMR,Interior
Contra Costa PP Number 01,7/1/1997,249,8,78.99333076,W,OMR,Interior
Middle River @ Union Point - P10A,7/9/2018,246,8,82.60710477,BN,OMR,Interior
Middle River @ Union Point - P10A,12/4/2017,246,8,83.87250454,W,OMR,Interior
Clifton Court Intake,9/21/1993,245,8,80.87356521,AN,OMR,Interior
Old River South of Rock Slough (St 5A),6/18/1981,243,8,80.97126487,D,OMR,Interior
Old River South of Rock Slough (St 5A),5/16/1985,241,8,77.45709937,D,OMR,Interior
Contra Costa PP Number 01,5/4/2004,233,8,76.25300399,BN,OMR,Interior
Contra Costa PP Number 01,3/6/2006,232,8,50.66954548,W,OMR,Interior
Old River South of Rock Slough (St 5A),6/2/1981,232,8,75.30547237,D,OMR,Interior
Old River South of Rock Slough (St 5A),8/21/1984,232,8,77.90828234,W,OMR,Interior
Contra Costa PP Number 01,7/3/2000,229,8,80.70368222,AN,OMR,Interior
Old River South of Rock Slough (St 5A),8/7/1986,229,8,81.25987168,W,OMR,Interior
Middle River @ Union Point - P10A,7/7/2009,228,8,82.06398554,D,OMR,Interior
Old River South of Rock Slough (St 5A),1/20/1981,227,8,84.3665229,D,OMR,Interior
Old River South of Rock Slough (St 5A),11/20/1979,227,8,77.49708288,AN,OMR,Interior
Old River South of Rock Slough (St 5A),4/23/1981,226,8,75.00542927,D,OMR,Interior
Rock Slough @ Old River,7/2/1986,225,8,77.07568175,W,OMR,Interior
Old River South of Rock Slough (St 5A),1/2/1980,223,8,63.56656112,AN,OMR,Interior
Contra Costa PP Number 01,12/6/1995,213,8,79.32528838,W,OMR,Interior
Old River South of Rock Slough (St 5A),1/6/1981,209,8,79.42709404,D,OMR,Interior
Old River South of Rock Slough (St 5A),9/17/1984,209,8,68.46687852,W,OMR,Interior
Old River South of Rock Slough (St 5A),5/7/1979,203,8,74.48111623,BN,OMR,Interior
Clifton Court Intake,3/4/1986,306,7,0,W,OMR,Interior
Middle River @ Union Point - P10A,6/5/2018,284,7,74.73149108,BN,OMR,Interior
Clifton Court Intake,5/7/1986,280,7,66.57784182,W,OMR,Interior
Old River South of Rock Slough (St 5A),5/19/1980,277,7,62.05980719,AN,OMR,Interior
Old River South of Rock Slough (St 5A),5/27/1980,277,7,65.09270984,AN,OMR,Interior
Middle River @ Union Point - P10A,1/3/2011,274,7,53.33698971,W,OMR,Interior
Old River South of Rock Slough (St 5A),2/14/1980,266,7,67.64537101,AN,OMR,Interior
Middle River @ Union Point - P10A,8/4/2009,265,7,84.14076361,D,OMR,Interior
Middle River @ Union Point - P10A,8/2/2006,261,7,78.28975195,W,OMR,Interior
Rock Slough at Delta Road Bridge,6/6/2011,259,7,57.57300551,W,OMR,Interior
Middle River @ Union Point - P10A,2/6/2017,258,7,50.46962633,W,OMR,Interior
Middle River @ Union Point - P10A,6/6/2011,257,7,57.57300551,W,OMR,Interior
Contra Costa PP Number 01,6/7/2005,256,7,54.24209382,AN,OMR,Interior
Middle River @ Union Point - P10A,4/4/2011,247,7,0,W,OMR,Interior
Contra Costa PP Number 01,8/2/2000,244,7,77.4197889,AN,OMR,Interior
Old River South of Rock Slough (St 5A),7/21/1982,244,7,78.29621658,W,OMR,Interior
Middle River @ Union Point - P10A,7/6/2010,241,7,80.72423904,BN,OMR,Interior
Middle River @ Union Point - P10A,9/6/2006,240,7,78.70958184,W,OMR,Interior
Old River South of Rock Slough (St 5A),4/16/1984,238,7,68.44196634,W,OMR,Interior
Old River South of Rock Slough (St 5A),10/19/1982,234,7,67.33005042,D,OMR,Interior
Old River South of Rock Slough (St 5A),5/20/1986,233,7,69.94743635,W,OMR,Interior
