Long Station Name,Collection Date,EC,Mg,Sacramento X2,WYT,Location,Area
Rock Slough @ Old River,10/20/1992,811,21,94.16017229,C,OMR,Interior
Old River North of Rock Slough (St 4b),3/12/1991,779,21,78.72735886,C,OMR,Interior
Clifton Court Intake,3/9/1993,730,21,59.04059358,AN,OMR,Interior
Contra Costa PP Number 01,10/2/2007,928,20,87.02852586,W,OMR,Interior
Old River North of Rock Slough (St 4b),1/2/1991,880,20,93.51732212,C,OMR,Interior
Rock Slough @ Old River,8/6/1992,878,20,92.5804813,C,OMR,Interior
Contra Costa PP Number 01,11/5/2002,874,20,91.73476989,D,OMR,Interior
Rock Slough @ Old River,4/25/1990,864,20,87.22990049,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/17/1990,863,20,93.81403956,D,OMR,Interior
Rock Slough @ Old River,1/16/1991,862,20,92.74078739,C,OMR,Interior
Old River North of Rock Slough (St 4b),1/16/1991,861,20,92.74078739,C,OMR,Interior
Old River South of Rock Slough (St 5A),1/4/1991,860,20,93.20280671,C,OMR,Interior
Clifton Court Intake,12/11/1990,853,20,93.08539402,C,OMR,Interior
Rock Slough @ Old River,11/14/1990,848,20,93.90716742,D,OMR,Interior
Rock Slough @ Old River,10/17/1990,847,20,93.81403956,D,OMR,Interior
Old River North of Rock Slough (St 4b),8/6/1992,840,20,92.5804813,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/11/1990,836,20,94.23950241,D,OMR,Interior
Old River North of Rock Slough (St 4b),10/31/1990,832,20,92.89347904,D,OMR,Interior
Rock Slough @ Old River,10/31/1990,828,20,92.89347904,D,OMR,Interior
Rock Slough @ Old River,10/11/1990,816,20,94.23950241,D,OMR,Interior
Rock Slough @ Old River,7/9/1992,812,20,91.63677332,C,OMR,Interior
Clifton Court Intake,12/11/1991,810,20,94.35994762,C,OMR,Interior
Old River South of Rock Slough (St 5A),3/3/1989,807,20,93.76129389,D,OMR,Interior
Rock Slough @ Old River,8/25/1994,805,20,90.48799198,C,OMR,Interior
Rock Slough @ Old River,1/23/1992,792,20,92.69366513,C,OMR,Interior
Clifton Court Intake,6/27/1990,786,20,84.4854239,C,OMR,Interior
Contra Costa PP Number 01,1/6/2004,784,20,55.58733795,BN,OMR,Interior
Old River North of Rock Slough (St 4b),10/20/1992,766,20,94.16017229,C,OMR,Interior
Clifton Court Intake,11/19/1992,737,20,93.66767375,C,OMR,Interior
Middle River @ Union Point - P10A,3/3/2014,725,20,80.57624471,C,OMR,Interior
Old River South of Rock Slough (St 5A),1/6/1988,669,20,87.58232555,C,OMR,Interior
Contra Costa PP Number 01,4/1/2003,663,20,69.81194277,AN,OMR,Interior
Contra Costa PP Number 01,3/3/2003,591,20,60.574921,AN,OMR,Interior
Old River North of Rock Slough (St 4b),11/14/1990,859,19,93.90716742,D,OMR,Interior
Contra Costa PP Number 01,9/4/2002,854,19,88.12309273,D,OMR,Interior
Old River North of Rock Slough (St 4b),7/9/1992,795,19,91.63677332,C,OMR,Interior
Middle River @ Union Point - P10A,2/3/2014,774,19,93.92384943,C,OMR,Interior
Old River South of Rock Slough (St 5A),4/1/1990,751,19,92.60495482,C,OMR,Interior
Contra Costa PP Number 01,12/3/2001,750,19,82.50576236,D,OMR,Interior
Contra Costa PP Number 01,1/23/1992,732,19,92.69366513,C,OMR,Interior
Clifton Court Intake,1/31/1991,731,19,94.0793962,C,OMR,Interior
Clifton Court Intake,6/25/1992,724,19,90.85817896,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/5/1986,723,19,80.38588581,W,OMR,Interior
Old River North of Rock Slough (St 4b),6/13/1991,719,19,92.96709129,C,OMR,Interior
Clifton Court Intake,9/24/1992,717,19,92.85385013,C,OMR,Interior
Rock Slough @ Old River,6/13/1991,713,19,92.96709129,C,OMR,Interior
Contra Costa PP Number 01,6/24/1991,705,19,92.83977948,C,OMR,Interior
Middle River @ Union Point - P10A,6/1/2015,697,19,93.2549537,C,OMR,Interior
Contra Costa PP Number 01,7/20/1994,666,19,90.6143213,C,OMR,Interior
Contra Costa PP Number 01,4/10/1995,635,19,50.51772825,W,OMR,Interior
Contra Costa PP Number 01,1/13/1993,633,19,64.09402935,AN,OMR,Interior
Contra Costa PP Number 01,2/6/1995,533,19,48.45038827,W,OMR,Interior
Contra Costa PP Number 01,9/5/2007,812,18,85.25541551,D,OMR,Interior
Old River North of Rock Slough (St 4b),1/24/1990,804,18,79.66720736,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/2/1981,793,18,89.4339165,D,OMR,Interior
Old River South of Rock Slough (St 5A),9/18/1981,758,18,85.78904211,D,OMR,Interior
Contra Costa PP Number 01,9/2/2008,744,18,88.7732302,C,OMR,Interior
Rock Slough @ Old River,9/26/1991,741,18,89.13268814,C,OMR,Interior
Rock Slough @ Old River,9/12/1991,722,18,88.08357466,C,OMR,Interior
Old River South of Rock Slough (St 5A),2/2/1990,711,18,83.0339583,C,OMR,Interior
Clifton Court Intake,10/23/1990,710,18,94.64630634,D,OMR,Interior
Old River North of Rock Slough (St 4b),9/26/1991,705,18,89.13268814,C,OMR,Interior
Contra Costa PP Number 01,1/2/2007,704,18,80.23657174,D,OMR,Interior
Contra Costa PP Number 01,8/23/1994,703,18,91.93258472,C,OMR,Interior
Clifton Court Intake,11/21/1991,688,18,93.42904814,C,OMR,Interior
Middle River at Bacon Island Bridge,12/10/1992,686,18,95.44056579,C,OMR,Interior
Clifton Court Intake,9/22/1994,667,18,90.04354307,C,OMR,Interior
Contra Costa PP Number 01,1/3/2005,640,18,63.06546569,AN,OMR,Interior
Middle River @ Union Point - P10A,2/3/2009,633,18,84.30493265,D,OMR,Interior
Contra Costa PP Number 01,1/8/2002,616,18,54.28372948,D,OMR,Interior
Clifton Court Intake,5/19/1994,599,18,76.51544974,C,OMR,Interior
Contra Costa PP Number 01,9/11/1991,782,17,92.53683095,C,OMR,Interior
Contra Costa PP Number 01,11/1/2004,765,17,83.50140273,AN,OMR,Interior
Contra Costa PP Number 01,10/6/2004,730,17,80.20091081,AN,OMR,Interior
Contra Costa PP Number 01,12/3/2003,724,17,87.61870823,AN,OMR,Interior
Contra Costa PP Number 01,1/3/2006,703,17,0,W,OMR,Interior
Old River North of Rock Slough (St 4b),9/12/1991,702,17,88.08357466,C,OMR,Interior
Rock Slough @ Old River,7/20/1994,692,17,90.6143213,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/20/1994,690,17,90.6143213,C,OMR,Interior
Clifton Court Intake,11/13/1990,689,17,93.89378554,D,OMR,Interior
Contra Costa PP Number 01,11/7/2000,668,17,84.3926938,W,OMR,Interior
Middle River @ Union Point - P10A,7/6/2015,667,17,95.81957478,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/23/1991,665,17,94.27657666,C,OMR,Interior
Middle River at Bacon Island Bridge,10/30/1990,656,17,93.26510574,D,OMR,Interior
Old River North of Rock Slough (St 4b),7/10/1991,648,17,92.07471565,C,OMR,Interior
Rock Slough @ Old River,6/26/1991,647,17,92.70986559,C,OMR,Interior
Contra Costa PP Number 01,11/3/2008,642,17,93.02142734,D,OMR,Interior
Old River North of Rock Slough (St 4b),6/26/1991,639,17,92.70986559,C,OMR,Interior
Rock Slough @ Old River,10/23/1991,637,17,94.27657666,C,OMR,Interior
Rock Slough @ Old River,10/20/1994,636,17,92.73586707,AN,OMR,Interior
Old River North of Rock Slough (St 4b),5/22/1991,613,17,90.63835999,C,OMR,Interior
Middle River at Bacon Island Bridge,2/26/1991,610,17,94.34149831,C,OMR,Interior
Middle River at Bacon Island Bridge,12/11/1991,609,17,94.35994762,C,OMR,Interior
Middle River at Bacon Island Bridge,11/19/1992,607,17,93.66767375,C,OMR,Interior
Clifton Court Intake,6/25/1991,607,17,93.04612539,C,OMR,Interior
Rock Slough @ Old River,5/22/1991,596,17,90.63835999,C,OMR,Interior
Middle River @ Union Point - P10A,1/6/2009,589,17,86.18470086,D,OMR,Interior
Middle River @ Union Point - P10A,3/2/2009,583,17,65.57301543,D,OMR,Interior
Contra Costa PP Number 01,12/6/2004,579,17,88.99645057,BN,OMR,Interior
Middle River @ Union Point - P10A,5/4/2015,568,17,94.17154572,C,OMR,Interior
Contra Costa PP Number 01,5/21/1991,537,17,91.14886705,C,OMR,Interior
Contra Costa PP Number 01,4/4/2005,499,17,55.79737907,AN,OMR,Interior
Old River near Rock Slough,8/18/1959,1000,16,93.54824528,BN,OMR,Interior
Old River near Rock Slough,7/7/1959,749,16,94.29889644,BN,OMR,Interior
Old River South of Rock Slough (St 5A),8/29/1979,717,16,84.68527652,BN,OMR,Interior
Old River near Rock Slough,7/7/1959,716,16,94.29889644,BN,OMR,Interior
Middle River @ Union Point - P10A,12/7/2015,710,16,94.9140377,C,OMR,Interior
Contra Costa PP Number 01,12/5/1996,688,16,78.03491703,W,OMR,Interior
Middle River @ Union Point - P10A,11/2/2015,675,16,93.88533024,C,OMR,Interior
