Long Station Name,Collection Date,EC,K,Sacramento X2,WYT,Location,Area
Old River South of Rock Slough (St 5A),5/5/1982,178,1.6,53.20631662,W,OMR,Interior
Old River South of Rock Slough (St 5A),6/30/1980,195,1.6,70.47262594,AN,OMR,Interior
Middle River @ Union Point - P10A,5/2/2011,199,1.6,57.60965856,W,OMR,Interior
Old River South of Rock Slough (St 5A),11/3/1980,201,1.6,78.34640114,BN,OMR,Interior
Old River South of Rock Slough (St 5A),10/20/1980,204,1.6,75.79339987,BN,OMR,Interior
Old River South of Rock Slough (St 5A),9/13/1982,208,1.6,66.6341757,W,OMR,Interior
Old River South of Rock Slough (St 5A),3/12/1980,212,1.6,49.22949664,AN,OMR,Interior
Rock Slough @ Old River,9/1/1993,216,1.6,78.41118016,AN,OMR,Interior
Old River South of Rock Slough (St 5A),6/16/1980,221,1.6,68.91440792,AN,OMR,Interior
Old River South of Rock Slough (St 5A),6/23/1980,221,1.6,68.0228655,AN,OMR,Interior
Middle River @ Union Point - P10A,7/6/2016,222,1.6,84.55059684,BN,OMR,Interior
Contra Costa PP Number 01,7/8/1998,233,1.6,56.61660003,W,OMR,Interior
Old River South of Rock Slough (St 5A),10/6/1980,236,1.6,77.15999944,BN,OMR,Interior
Middle River @ Union Point - P10A,7/6/2010,241,1.6,80.72423904,BN,OMR,Interior
Clifton Court Intake,9/21/1993,245,1.6,80.87356521,AN,OMR,Interior
Middle River @ Union Point - P10A,10/3/2006,253,1.6,79.15994988,AN,OMR,Interior
Old River South of Rock Slough (St 5A),6/22/1982,253,1.6,65.44959567,W,OMR,Interior
Contra Costa PP Number 01,6/7/2005,256,1.6,54.24209382,AN,OMR,Interior
Contra Costa PP Number 01,7/2/2002,262,1.6,80.39099747,D,OMR,Interior
Old River South of Rock Slough (St 5A),9/26/1980,265,1.6,76.604144,AN,OMR,Interior
Contra Costa PP Number 01,4/10/1997,272,1.6,73.77999403,W,OMR,Interior
Contra Costa PP Number 01,9/23/1993,285,1.6,83.44869348,AN,OMR,Interior
Middle River @ Union Point - P10A,6/8/2010,288,1.6,67.97063022,BN,OMR,Interior
Contra Costa PP Number 01,12/2/1998,289,1.6,64.89739823,W,OMR,Interior
Contra Costa PP Number 01,6/4/1997,294,1.6,78.50514499,W,OMR,Interior
Contra Costa PP Number 01,4/2/2002,295,1.6,71.94484474,D,OMR,Interior
Contra Costa PP Number 01,5/10/1995,307,1.6,49.34111805,W,OMR,Interior
Contra Costa PP Number 01,5/6/2003,330,1.6,51.50084909,AN,OMR,Interior
