Long Station Name,Collection Date,EC,SO4,Sacramento X2,WYT,Location,Area
Clifton Court Intake,5/21/1991,527,47,91.14886705,C,OMR,Interior
Clifton Court Intake,3/24/1994,437,47,72.52425966,C,OMR,Interior
Contra Costa PP Number 01,11/9/1994,988,46,92.63852791,AN,OMR,Interior
Rock Slough @ Old River,1/29/1991,897,46,94.90599798,C,OMR,Interior
Clifton Court Intake,12/11/1990,853,46,93.08539402,C,OMR,Interior
Middle River @ Union Point - P10A,2/3/2014,774,46,93.92384943,C,OMR,Interior
Middle River at Bacon Island Bridge,12/10/1992,686,46,95.44056579,C,OMR,Interior
Middle River @ Union Point - P10A,5/3/2016,461,46,75.47029728,BN,OMR,Interior
Middle River @ Union Point - P10A,2/5/2008,456,46,54.87619201,C,OMR,Interior
Middle River at Bacon Island Bridge,5/13/1993,411,46,61.911538,AN,OMR,Interior
Clifton Court Intake,4/8/1993,400,46,54.30864006,AN,OMR,Interior
Middle River at Bacon Island Bridge,11/21/1991,547,45,93.42904814,C,OMR,Interior
Middle River @ Union Point - P10A,3/2/2010,483,45,63.81753273,BN,OMR,Interior
Clifton Court Intake,6/22/1994,450,45,89.49535368,C,OMR,Interior
Contra Costa PP Number 01,3/24/1992,421,45,67.98576989,C,OMR,Interior
Contra Costa PP Number 01,2/7/2005,379,45,66.68285541,AN,OMR,Interior
Old River near Rock Slough,8/18/1959,937,44,93.54824528,BN,OMR,Interior
Old River North of Rock Slough (St 4b),1/29/1991,878,44,94.90599798,C,OMR,Interior
Contra Costa PP Number 01,9/4/2002,854,44,88.12309273,D,OMR,Interior
Clifton Court Intake,6/4/1992,569,44,92.61021102,C,OMR,Interior
Contra Costa PP Number 01,5/12/1993,410,44,63.16142825,AN,OMR,Interior
Contra Costa PP Number 01,2/8/1996,397,44,47.52751567,W,OMR,Interior
Contra Costa PP Number 01,5/13/1997,363,44,71.63203277,W,OMR,Interior
Contra Costa PP Number 01,7/22/1992,905,43,92.3938467,C,OMR,Interior
Clifton Court Intake,11/19/1992,737,43,93.66767375,C,OMR,Interior
Middle River @ Union Point - P10A,2/2/2010,536,43,54.29400396,BN,OMR,Interior
Middle River at Bacon Island Bridge,5/21/1992,458,43,91.77345049,C,OMR,Interior
Middle River @ Union Point - P10A,4/6/2010,441,43,68.63765096,BN,OMR,Interior
Middle River @ Union Point - P10A,6/2/2008,435,43,81.73068377,C,OMR,Interior
Contra Costa PP Number 01,5/26/1994,427,43,79.98947042,C,OMR,Interior
Middle River at Bacon Island Bridge,1/13/1993,423,43,64.09402935,AN,OMR,Interior
Contra Costa PP Number 01,5/6/2008,415,43,81.24308533,C,OMR,Interior
Middle River @ Union Point - P10A,6/4/2007,399,43,80.25338455,D,OMR,Interior
Contra Costa PP Number 01,2/10/1993,361,43,66.22571537,AN,OMR,Interior
Clifton Court Intake,8/10/1993,348,43,70.9026113,AN,OMR,Interior
Old River near Rock Slough,8/18/1959,1000,42,93.54824528,BN,OMR,Interior
Contra Costa PP Number 01,8/19/1992,904,42,92.0935494,C,OMR,Interior
Contra Costa PP Number 01,11/19/1991,836,42,93.6335894,C,OMR,Interior
Contra Costa PP Number 01,11/1/2004,765,42,83.50140273,AN,OMR,Interior
Clifton Court Intake,6/25/1992,724,42,90.85817896,C,OMR,Interior
Clifton Court Intake,11/13/1990,689,42,93.89378554,D,OMR,Interior
Contra Costa PP Number 01,5/2/2000,381,42,63.70366373,AN,OMR,Interior
Rock Slough @ Old River,9/22/1994,988,41,90.04354307,C,OMR,Interior
Contra Costa PP Number 01,10/7/1992,900,41,92.45317986,C,OMR,Interior
Contra Costa PP Number 01,6/23/1992,885,41,92.2794422,C,OMR,Interior
Middle River at Bacon Island Bridge,10/24/1990,585,41,94.04183083,D,OMR,Interior
Clifton Court Intake,3/4/1986,306,41,0,W,OMR,Interior
Rock Slough @ Old River,10/24/1990,960,40,94.04183083,D,OMR,Interior
Contra Costa PP Number 01,9/20/1994,935,40,92.37559029,C,OMR,Interior
Old River North of Rock Slough (St 4b),4/25/1990,905,40,87.22990049,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/7/1992,835,40,92.45317986,C,OMR,Interior
Contra Costa PP Number 01,12/13/1994,814,40,82.54298007,C,OMR,Interior
Contra Costa PP Number 01,1/23/1992,732,40,92.69366513,C,OMR,Interior
Middle River @ Union Point - P10A,6/1/2015,697,40,93.2549537,C,OMR,Interior
Middle River @ Union Point - P10A,2/3/2009,633,40,84.30493265,D,OMR,Interior
Clifton Court Intake,5/21/1992,463,40,91.77345049,C,OMR,Interior
Middle River @ Union Point - P10A,3/7/2011,372,40,56.35666923,W,OMR,Interior
Contra Costa PP Number 01,2/3/1999,352,40,51.6298188,W,OMR,Interior
Old River North of Rock Slough (St 4b),10/24/1990,921,39,94.04183083,D,OMR,Interior
Rock Slough @ Old River,4/25/1990,864,39,87.22990049,C,OMR,Interior
Rock Slough @ Old River,1/23/1992,792,39,92.69366513,C,OMR,Interior
Middle River at Bacon Island Bridge,2/26/1991,610,39,94.34149831,C,OMR,Interior
Contra Costa PP Number 01,4/4/2000,391,39,70.46558651,AN,OMR,Interior
Middle River @ Union Point - P10A,5/7/2018,352,39,64.92049336,BN,OMR,Interior
Contra Costa PP Number 01,5/3/2005,346,39,60.83995013,AN,OMR,Interior
Contra Costa PP Number 01,4/8/1999,324,39,57.34361395,W,OMR,Interior
Clifton Court Intake,6/4/1986,303,39,70.7018673,W,OMR,Interior
Old River North of Rock Slough (St 4b),8/19/1992,915,38,92.0935494,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/22/1992,909,38,92.3938467,C,OMR,Interior
Rock Slough @ Old River,8/19/1992,901,38,92.0935494,C,OMR,Interior
Rock Slough @ Old River,7/22/1992,899,38,92.3938467,C,OMR,Interior
Contra Costa PP Number 01,9/22/1992,882,38,92.38888101,C,OMR,Interior
Rock Slough @ Old River,10/7/1992,849,38,92.45317986,C,OMR,Interior
Contra Costa PP Number 01,9/5/2007,812,38,85.25541551,D,OMR,Interior
Contra Costa PP Number 01,2/3/2009,794,38,84.30493265,D,OMR,Interior
Clifton Court Intake,10/23/1990,710,38,94.64630634,D,OMR,Interior
Contra Costa PP Number 01,6/24/1991,705,38,92.83977948,C,OMR,Interior
Contra Costa PP Number 01,12/5/1996,688,38,78.03491703,W,OMR,Interior
Contra Costa PP Number 01,11/7/2000,668,38,84.3926938,W,OMR,Interior
Clifton Court Intake,5/23/1990,654,38,90.30188297,C,OMR,Interior
Middle River at Bacon Island Bridge,11/19/1992,607,38,93.66767375,C,OMR,Interior
Clifton Court Intake,3/27/1991,548,38,71.68911216,C,OMR,Interior
Middle River @ Union Point - P10A,2/3/2016,488,38,59.65346245,BN,OMR,Interior
Clifton Court Intake,2/17/1994,415,38,75.37363149,C,OMR,Interior
Rock Slough @ Old River,5/19/1994,395,38,76.51544974,C,OMR,Interior
Contra Costa PP Number 01,2/8/2000,385,38,57.61717763,AN,OMR,Interior
Clifton Court Intake,2/9/1993,345,38,67.78217395,AN,OMR,Interior
Contra Costa PP Number 01,3/12/1997,314,38,55.67296976,W,OMR,Interior
Contra Costa PP Number 01,5/10/1995,307,38,49.34111805,W,OMR,Interior
Contra Costa PP Number 01,10/1/2008,870,37,88.30977329,D,OMR,Interior
Contra Costa PP Number 01,12/3/2003,724,37,87.61870823,AN,OMR,Interior
Clifton Court Intake,9/24/1992,717,37,92.85385013,C,OMR,Interior
