Long Station Name,Collection Date,EC,Na,Sacramento X2,WYT,Location,Area
Middle River at Bacon Island Bridge,12/11/1990,542,61,93.08539402,C,OMR,Interior
Contra Costa PP Number 01,9/8/2004,540,61,83.45154489,BN,OMR,Interior
Clifton Court Intake,7/23/1991,528,61,91.47785985,C,OMR,Interior
Middle River at Bacon Island Bridge,10/7/1992,522,61,92.45317986,C,OMR,Interior
Clifton Court Intake,2/14/1990,515,61,84.5852336,C,OMR,Interior
Old River South of Rock Slough (St 5A),7/7/1987,505,61,85.52687347,D,OMR,Interior
Contra Costa PP Number 01,10/3/2005,504,61,81.90521431,BN,OMR,Interior
Middle River @ Union Point - P10A,3/2/2009,583,60,65.57301543,D,OMR,Interior
Middle River at Bacon Island Bridge,10/16/1990,542,60,94.0236734,D,OMR,Interior
Middle River @ Union Point - P10A,2/2/2010,536,60,54.29400396,BN,OMR,Interior
Contra Costa PP Number 01,5/2/1996,516,60,66.95278638,W,OMR,Interior
Old River near Rock Slough,9/15/1959,509,60,84.58759953,BN,OMR,Interior
Middle River @ Union Point - P10A,12/2/2013,507,60,93.39492499,D,OMR,Interior
Rock Slough @ Old River,7/10/1985,453,60,82.90461957,D,OMR,Interior
Middle River @ Union Point - P10A,12/2/2008,511,59,92.75840841,C,OMR,Interior
Middle River @ Union Point - P10A,8/4/2014,490,59,88.73599436,C,OMR,Interior
Rock Slough @ Old River,9/5/1990,483,59,86.59648732,C,OMR,Interior
Old River South of Rock Slough (St 5A),10/9/1979,482,59,84.06190501,AN,OMR,Interior
Old River South of Rock Slough (St 5A),9/4/1990,479,59,85.84737194,C,OMR,Interior
Rock Slough @ Old River,8/22/1990,477,59,83.47764088,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/22/1978,466,59,83.59458748,AN,OMR,Interior
Contra Costa PP Number 01,12/5/2006,461,59,88.65054031,W,OMR,Interior
Contra Costa PP Number 01,5/21/1991,537,58,91.14886705,C,OMR,Interior
Middle River at Bacon Island Bridge,1/2/1991,536,58,93.51732212,C,OMR,Interior
Middle River at Bacon Island Bridge,6/9/1992,535,58,88.84783983,C,OMR,Interior
Middle River at Bacon Island Bridge,1/29/1991,532,58,94.90599798,C,OMR,Interior
Clifton Court Intake,9/24/1990,504,58,90.82305445,C,OMR,Interior
Contra Costa PP Number 01,8/5/2008,492,58,88.35573476,C,OMR,Interior
Contra Costa PP Number 01,8/6/2007,492,58,84.7182393,D,OMR,Interior
Old River North of Rock Slough (St 4b),8/22/1990,463,58,83.47764088,C,OMR,Interior
Rock Slough @ Old River,7/10/1990,449,58,87.75334412,C,OMR,Interior
Old River South of Rock Slough (St 5A),3/1/1988,540,57,91.84800955,C,OMR,Interior
Contra Costa PP Number 01,11/7/1996,495,57,84.27562766,W,OMR,Interior
Contra Costa PP Number 01,2/6/2006,491,57,52.81827396,W,OMR,Interior
Clifton Court Intake,12/15/1993,490,57,84.34978841,AN,OMR,Interior
Old River near Rock Slough,9/15/1959,486,57,84.58759953,BN,OMR,Interior
Old River North of Rock Slough (St 4b),9/5/1990,474,57,86.59648732,C,OMR,Interior
Clifton Court Intake,9/10/1991,469,57,92.73110822,C,OMR,Interior
Clifton Court Intake,2/25/1992,554,56,65.86224313,C,OMR,Interior
Clifton Court Intake,3/7/1989,503,56,84.84379302,D,OMR,Interior
Contra Costa PP Number 01,1/12/1994,482,56,82.38546939,C,OMR,Interior
Old River South of Rock Slough (St 5A),1/17/1978,468,56,59.14625574,AN,OMR,Interior
Old River North of Rock Slough (St 4b),8/28/1990,464,56,84.07314596,C,OMR,Interior
Old River South of Rock Slough (St 5A),7/31/1979,455,56,81.75511799,BN,OMR,Interior
Old River South of Rock Slough (St 5A),11/24/1981,451,56,65.98476899,AN,OMR,Interior
Old River South of Rock Slough (St 5A),9/13/1978,439,56,77.695743,AN,OMR,Interior
Old River North of Rock Slough (St 4b),7/25/1989,350,56,80.02863026,D,OMR,Interior
Clifton Court Intake,7/2/1986,534,55,77.07568175,W,OMR,Interior
Middle River at Bacon Island Bridge,8/19/1992,484,55,92.0935494,C,OMR,Interior
Middle River @ Union Point - P10A,1/5/2010,466,55,86.26711441,BN,OMR,Interior
Rock Slough @ Old River,8/28/1990,461,55,84.07314596,C,OMR,Interior
Clifton Court Intake,5/21/1991,527,54,91.14886705,C,OMR,Interior
Middle River at Bacon Island Bridge,1/7/1992,519,54,93.01508883,C,OMR,Interior
Middle River at Bacon Island Bridge,3/11/1991,514,54,78.62871498,C,OMR,Interior
Contra Costa PP Number 01,4/4/2005,499,54,55.79737907,AN,OMR,Interior
Rock Slough @ Old River,6/23/1987,488,54,86.80660417,D,OMR,Interior
Middle River at Bacon Island Bridge,9/1/1992,465,54,91.88565434,C,OMR,Interior
Contra Costa PP Number 01,10/20/1993,458,54,84.89979461,C,OMR,Interior
Middle River at Bacon Island Bridge,8/6/1990,458,54,86.53798294,C,OMR,Interior
Contra Costa PP Number 01,2/6/1995,533,53,48.45038827,W,OMR,Interior
Old River South of Rock Slough (St 5A),4/4/1978,506,53,57.31670008,AN,OMR,Interior
Middle River at Bacon Island Bridge,1/15/1991,501,53,92.72130445,C,OMR,Interior
Middle River at Bacon Island Bridge,5/19/1994,499,53,76.51544974,C,OMR,Interior
Clifton Court Intake,2/21/1990,472,53,80.12996718,C,OMR,Interior
Contra Costa PP Number 01,11/7/2005,468,53,89.68142253,BN,OMR,Interior
Middle River at Bacon Island Bridge,9/24/1992,458,53,92.85385013,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/1/1987,458,53,84.03896739,D,OMR,Interior
Clifton Court Intake,7/25/1990,457,53,87.85147172,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/16/1990,450,53,85.00509504,C,OMR,Interior
Old River South of Rock Slough (St 5A),2/20/1979,517,52,61.16117032,BN,OMR,Interior
Contra Costa PP Number 01,3/2/2004,500,52,49.65011755,BN,OMR,Interior
Middle River @ Union Point - P10A,1/2/2007,490,52,80.23657174,D,OMR,Interior
Clifton Court Intake,10/23/1985,484,52,88.74296201,W,OMR,Interior
Middle River at Bacon Island Bridge,10/10/1990,481,52,93.96433834,D,OMR,Interior
Contra Costa PP Number 01,8/3/2004,470,52,81.28623188,BN,OMR,Interior
Clifton Court Intake,11/7/1989,469,52,87.11334397,C,OMR,Interior
Rock Slough @ Old River,5/28/1987,468,52,86.9230571,D,OMR,Interior
Middle River @ Union Point - P10A,11/4/2013,463,52,90.34617646,BN,OMR,Interior
Middle River @ Union Point - P10A,9/2/2014,452,52,90.3346038,C,OMR,Interior
Clifton Court Intake,10/20/1994,451,52,92.73586707,AN,OMR,Interior
Middle River at Bacon Island Bridge,3/24/1994,516,51,72.52425966,C,OMR,Interior
Middle River @ Union Point - P10A,2/3/2016,488,51,59.65346245,BN,OMR,Interior
Middle River at Bacon Island Bridge,6/11/1991,468,51,92.37007644,C,OMR,Interior
Clifton Court Intake,8/28/1985,458,51,86.67605396,D,OMR,Interior
Rock Slough @ Old River,7/16/1990,441,51,85.00509504,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/20/1993,436,51,84.89979461,C,OMR,Interior
Rock Slough @ Old River,6/14/1988,434,51,89.84067481,C,OMR,Interior
Clifton Court Intake,6/27/1984,472,50,78.52956136,W,OMR,Interior
Middle River at Bacon Island Bridge,10/20/1994,464,50,92.73586707,AN,OMR,Interior
Middle River @ Union Point - P10A,1/8/2018,456,50,84.74492337,BN,OMR,Interior
Middle River at Bacon Island Bridge,6/28/1991,451,50,91.92518677,C,OMR,Interior
Rock Slough @ Old River,10/20/1993,425,50,84.89979461,C,OMR,Interior
Clifton Court Intake,11/10/1993,418,50,87.72748074,C,OMR,Interior
Old River South of Rock Slough (St 5A),9/1/1978,410,50,81.82001888,AN,OMR,Interior
Middle River at Bacon Island Bridge,2/16/1993,524,49,58.91466321,AN,OMR,Interior
Clifton Court Intake,6/23/1987,483,49,86.80660417,D,OMR,Interior
Old River South of Rock Slough (St 5A),2/5/1979,468,49,64.2815478,BN,OMR,Interior
Contra Costa PP Number 01,5/5/1999,451,49,57.23000982,W,OMR,Interior
Middle River @ Union Point - P10A,10/7/2013,430,49,87.90258861,BN,OMR,Interior
Rock Slough @ Old River,9/24/1986,285,49,76.64482557,W,OMR,Interior
Middle River @ Union Point - P10A,5/6/2008,503,48,81.24308533,C,OMR,Interior
Middle River @ Union Point - P10A,4/8/2008,492,48,78.37516679,C,OMR,Interior
Middle River @ Union Point - P10A,3/5/2007,485,48,58.91442023,D,OMR,Interior
Middle River at Bacon Island Bridge,3/25/1991,469,48,72.32639176,C,OMR,Interior
Middle River @ Union Point - P10A,10/1/2008,461,48,88.30977329,D,OMR,Interior
Contra Costa PP Number 01,1/6/1999,459,48,64.63920091,W,OMR,Interior
Contra Costa PP Number 01,2/6/2007,456,48,79.89948567,D,OMR,Interior
Contra Costa PP Number 01,9/6/2005,418,48,83.07162013,AN,OMR,Interior
Clifton Court Intake,1/23/1986,410,48,73.43685446,W,OMR,Interior
Middle River @ Union Point - P10A,10/11/2018,407,48,#N/A,W,OMR,Interior
Middle River at Bacon Island Bridge,2/17/1994,482,47,75.37363149,C,OMR,Interior
Middle River @ Union Point - P10A,1/5/2015,470,47,71.50190239,C,OMR,Interior
Middle River @ Union Point - P10A,5/3/2016,461,47,75.47029728,BN,OMR,Interior
Middle River @ Union Point - P10A,2/6/2007,460,47,79.89948567,D,OMR,Interior
Clifton Court Intake,5/13/1993,456,47,61.911538,AN,OMR,Interior
Middle River @ Union Point - P10A,11/3/2008,443,47,93.02142734,D,OMR,Interior
Middle River @ Union Point - P10A,11/6/2007,427,47,89.58054651,W,OMR,Interior
Middle River @ Union Point - P10A,12/3/2018,408,47,#N/A,BN,OMR,Interior
Contra Costa PP Number 01,9/10/2003,388,47,81.97587927,AN,OMR,Interior
Middle River @ Union Point - P10A,5/5/2014,483,46,87.63000727,C,OMR,Interior
Clifton Court Intake,5/21/1992,463,46,91.77345049,C,OMR,Interior
Middle River at Bacon Island Bridge,5/21/1992,458,46,91.77345049,C,OMR,Interior
Middle River at Bacon Island Bridge,1/23/1992,455,46,92.69366513,C,OMR,Interior
Contra Costa PP Number 01,5/19/1992,451,46,92.35936602,C,OMR,Interior
Clifton Court Intake,6/22/1994,450,46,89.49535368,C,OMR,Interior
Middle River @ Union Point - P10A,6/2/2014,436,46,93.56618111,C,OMR,Interior
Contra Costa PP Number 01,1/9/1997,427,46,31.8495819,W,OMR,Interior
Middle River at Bacon Island Bridge,1/24/1990,420,46,79.66720736,C,OMR,Interior
Middle River at Bacon Island Bridge,7/8/1991,414,46,90.66370954,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/10/1990,408,46,87.75334412,C,OMR,Interior
Middle River at Bacon Island Bridge,9/22/1994,407,46,90.04354307,C,OMR,Interior
Clifton Court Intake,8/21/1990,397,46,82.94560259,C,OMR,Interior
Old River South of Rock Slough (St 5A),7/19/1979,395,46,82.51114931,BN,OMR,Interior
Middle River @ Union Point - P10A,3/2/2010,483,45,63.81753273,BN,OMR,Interior
Middle River at Bacon Island Bridge,4/8/1993,465,45,54.30864006,AN,OMR,Interior
Middle River @ Union Point - P10A,4/7/2014,459,45,75.44547873,C,OMR,Interior
Middle River at Bacon Island Bridge,4/20/1994,441,45,78.884997,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/1/1978,426,45,84.62362617,AN,OMR,Interior
Old River South of Rock Slough (St 5A),12/3/1981,423,45,52.53667998,D,OMR,Interior
Contra Costa PP Number 01,1/5/1994,403,45,81.23635172,C,OMR,Interior
Middle River @ Union Point - P10A,10/4/2016,387,45,86.5637221,C,OMR,Interior
Contra Costa PP Number 01,2/5/2008,462,44,54.87619201,C,OMR,Interior
Middle River at Bacon Island Bridge,5/7/1992,456,44,90.34949329,C,OMR,Interior
Rock Slough @ Old River,6/22/1994,450,44,89.49535368,C,OMR,Interior
Middle River at Bacon Island Bridge,4/21/1993,440,44,62.38347365,AN,OMR,Interior
Middle River at Bacon Island Bridge,10/2/1990,437,44,92.40360011,D,OMR,Interior
Contra Costa PP Number 01,4/3/2006,428,44,47.97842568,W,OMR,Interior
Contra Costa PP Number 01,5/26/1994,427,44,79.98947042,C,OMR,Interior
Old River South of Rock Slough (St 5A),11/15/1983,427,44,59.86273225,W,OMR,Interior
Contra Costa PP Number 01,3/24/1992,421,44,67.98576989,C,OMR,Interior
Clifton Court Intake,6/14/1988,416,44,89.84067481,C,OMR,Interior
Middle River @ Union Point - P10A,10/6/2009,411,44,87.99178837,C,OMR,Interior
Middle River at Bacon Island Bridge,7/24/1991,404,44,92.78926842,C,OMR,Interior
Middle River @ Union Point - P10A,12/7/2016,398,44,83.68530205,BN,OMR,Interior
Middle River @ Union Point - P10A,6/2/2008,435,43,81.73068377,C,OMR,Interior
Middle River @ Union Point - P10A,2/4/2019,411,43,#N/A,W,OMR,Interior
Contra Costa PP Number 01,6/16/1994,407,43,86.55672415,C,OMR,Interior
Middle River at Bacon Island Bridge,10/8/1991,398,43,88.19157893,C,OMR,Interior
Clifton Court Intake,7/10/1985,386,43,82.90461957,D,OMR,Interior
Middle River @ Union Point - P10A,11/5/2018,362,43,#N/A,W,OMR,Interior
Middle River at Bacon Island Bridge,3/9/1993,471,42,59.04059358,AN,OMR,Interior
Contra Costa PP Number 01,4/8/2008,465,42,78.37516679,C,OMR,Interior
Old River South of Rock Slough (St 5A),3/24/1978,437,42,55.92345804,AN,OMR,Interior
Contra Costa PP Number 01,7/7/2004,430,42,83.05294294,BN,OMR,Interior
Middle River at Bacon Island Bridge,8/5/1991,415,42,91.32485805,C,OMR,Interior
Middle River @ Union Point - P10A,6/4/2007,399,42,80.25338455,D,OMR,Interior
Contra Costa PP Number 01,4/4/2000,391,42,70.46558651,AN,OMR,Interior
Old River South of Rock Slough (St 5A),7/16/1981,366,42,87.76825037,D,OMR,Interior
Middle River at Bacon Island Bridge,7/20/1994,365,42,90.6143213,C,OMR,Interior
Middle River @ Union Point - P10A,2/5/2008,456,41,54.87619201,C,OMR,Interior
Middle River @ Union Point - P10A,4/6/2010,441,41,68.63765096,BN,OMR,Interior
Clifton Court Intake,3/24/1994,437,41,72.52425966,C,OMR,Interior
Clifton Court Intake,2/13/1986,423,41,56.5590216,W,OMR,Interior
Old River South of Rock Slough (St 5A),4/9/1979,409,41,64.68168078,BN,OMR,Interior
Clifton Court Intake,3/20/1990,404,41,85.09103604,C,OMR,Interior
Rock Slough @ Old River,6/26/1990,377,41,87.03302324,C,OMR,Interior
Middle River @ Union Point - P10A,9/5/2007,364,41,85.25541551,D,OMR,Interior
Rock Slough @ Old River,6/26/1985,360,41,82.85900723,D,OMR,Interior
Middle River @ Union Point - P10A,11/7/2016,353,41,87.41045331,C,OMR,Interior
Clifton Court Intake,2/17/1994,415,40,75.37363149,C,OMR,Interior
Middle River at Bacon Island Bridge,5/13/1993,411,40,61.911538,AN,OMR,Interior
Contra Costa PP Number 01,5/12/1993,410,40,63.16142825,AN,OMR,Interior
Old River near Rock Slough,10/1/1959,396,40,78.11676896,W,OMR,Interior
Rock Slough @ Old River,5/19/1994,395,40,76.51544974,C,OMR,Interior
Middle River @ Union Point - P10A,9/2/2008,387,40,88.7732302,C,OMR,Interior
Contra Costa PP Number 01,2/7/2005,379,40,66.68285541,AN,OMR,Interior
Contra Costa PP Number 01,10/5/1993,368,40,83.89162437,C,OMR,Interior
Middle River @ Union Point - P10A,4/9/2018,358,40,54.04390508,BN,OMR,Interior
Old River South of Rock Slough (St 5A),10/22/1979,352,40,82.75529912,AN,OMR,Interior
Middle River at Bacon Island Bridge,1/13/1993,423,39,64.09402935,AN,OMR,Interior
Middle River @ Union Point - P10A,4/6/2015,419,39,88.0123047,C,OMR,Interior
Old River South of Rock Slough (St 5A),4/2/1979,417,39,56.30420023,BN,OMR,Interior
Contra Costa PP Number 01,5/6/2008,415,39,81.24308533,C,OMR,Interior
Middle River @ Union Point - P10A,2/5/2018,402,39,74.06112596,BN,OMR,Interior
Clifton Court Intake,5/28/1987,401,39,86.9230571,D,OMR,Interior
Middle River @ Union Point - P10A,5/4/2010,400,39,57.05251942,BN,OMR,Interior
Middle River at Bacon Island Bridge,6/22/1994,389,39,89.49535368,C,OMR,Interior
Clifton Court Intake,2/28/1984,389,39,56.84567786,W,OMR,Interior
Contra Costa PP Number 01,5/2/2000,381,39,63.70366373,AN,OMR,Interior
Middle River at Bacon Island Bridge,4/25/1990,349,39,87.22990049,C,OMR,Interior
Clifton Court Intake,2/24/1987,435,38,71.09908714,D,OMR,Interior
Middle River @ Union Point - P10A,3/2/2015,406,38,78.10690622,C,OMR,Interior
Contra Costa PP Number 01,2/9/1994,388,38,80.94524586,C,OMR,Interior
Contra Costa PP Number 01,2/8/2000,385,38,57.61717763,AN,OMR,Interior
Middle River at Bacon Island Bridge,9/24/1991,365,38,90.17385402,C,OMR,Interior
Middle River @ Union Point - P10A,5/7/2018,352,38,64.92049336,BN,OMR,Interior
Old River South of Rock Slough (St 5A),7/24/1978,351,38,85.52855028,AN,OMR,Interior
Middle River at Bacon Island Bridge,8/21/1991,347,38,88.57096592,C,OMR,Interior
Middle River at Bacon Island Bridge,3/25/1993,416,37,54.90975845,AN,OMR,Interior
Middle River @ Union Point - P10A,2/3/2015,415,37,87.92593622,C,OMR,Interior
Clifton Court Intake,4/8/1993,400,37,54.30864006,AN,OMR,Interior
Contra Costa PP Number 01,2/8/1996,397,37,47.52751567,W,OMR,Interior
Rock Slough @ Old River,2/10/1988,385,37,73.09597682,C,OMR,Interior
Middle River at Bacon Island Bridge,9/24/1990,368,37,90.82305445,C,OMR,Interior
Middle River at Bacon Island Bridge,10/23/1991,365,37,94.27657666,C,OMR,Interior
Middle River @ Union Point - P10A,11/3/2009,352,37,88.3635176,C,OMR,Interior
Middle River @ Union Point - P10A,9/10/2018,346,37,84.8982076,BN,OMR,Interior
Middle River @ Union Point - P10A,1/9/2017,338,37,56.18463132,W,OMR,Interior
Clifton Court Intake,6/26/1985,314,37,82.85900723,D,OMR,Interior
Old River South of Rock Slough (St 5A),3/9/1978,442,36,51.06449328,AN,OMR,Interior
Old River South of Rock Slough (St 5A),2/14/1978,419,36,52.74067557,AN,OMR,Interior
Contra Costa PP Number 01,4/20/1994,375,36,78.884997,C,OMR,Interior
Middle River @ Union Point - P10A,3/7/2011,372,36,56.35666923,W,OMR,Interior
Rock Slough @ Old River,2/17/1994,370,36,75.37363149,C,OMR,Interior
Contra Costa PP Number 01,5/13/1997,363,36,71.63203277,W,OMR,Interior
Middle River at Bacon Island Bridge,5/21/1991,359,36,91.14886705,C,OMR,Interior
Middle River @ Union Point - P10A,9/9/2009,345,36,84.37552482,D,OMR,Interior
Middle River @ Union Point - P10A,12/5/2006,341,36,88.65054031,W,OMR,Interior
Middle River at Bacon Island Bridge,8/25/1994,336,36,90.48799198,C,OMR,Interior
Rock Slough @ Old River,2/13/1986,319,36,56.5590216,W,OMR,Interior
Clifton Court Intake,1/19/1994,367,35,80.49647088,C,OMR,Interior
Clifton Court Intake,3/27/1984,362,35,59.85340054,W,OMR,Interior
Contra Costa PP Number 01,2/3/1999,352,35,51.6298188,W,OMR,Interior
Contra Costa PP Number 01,6/2/2008,366,34,81.73068377,C,OMR,Interior
Middle River at Bacon Island Bridge,1/19/1994,356,34,80.49647088,C,OMR,Interior
Old River near Rock Slough,10/1/1959,352,34,78.11676896,W,OMR,Interior
Clifton Court Intake,8/10/1993,348,34,70.9026113,AN,OMR,Interior
Old River South of Rock Slough (St 5A),4/16/1982,348,34,0,W,OMR,Interior
Contra Costa PP Number 01,5/3/2005,346,34,60.83995013,AN,OMR,Interior
Middle River @ Union Point - P10A,5/2/2007,346,34,74.44600721,D,OMR,Interior
Old River near Rock Slough,10/30/1959,345,34,83.58656463,W,OMR,Interior
Rock Slough @ Old River,1/12/1994,341,34,82.38546939,C,OMR,Interior
Middle River @ Union Point - P10A,10/5/2010,340,34,83.98583932,D,OMR,Interior
Old River North of Rock Slough (St 4b),1/12/1994,337,34,82.38546939,C,OMR,Interior
Old River near Rock Slough,6/19/1959,327,34,91.43818578,BN,OMR,Interior
Contra Costa PP Number 01,4/8/1999,324,34,57.34361395,W,OMR,Interior
Middle River at Bacon Island Bridge,9/10/1991,323,34,92.73110822,C,OMR,Interior
Rock Slough @ Old River,5/3/1988,315,34,78.45334473,C,OMR,Interior
Old River South of Rock Slough (St 5A),5/12/1980,358,33,65.43895548,AN,OMR,Interior
Middle River @ Union Point - P10A,12/4/2007,348,33,87.28423839,D,OMR,Interior
Clifton Court Intake,5/3/1988,337,33,78.45334473,C,OMR,Interior
Middle River @ Union Point - P10A,10/2/2007,335,33,87.02852586,W,OMR,Interior
Clifton Court Intake,3/27/1985,334,33,72.35776358,D,OMR,Interior
Middle River @ Union Point - P10A,11/3/2010,334,33,84.63274041,D,OMR,Interior
Contra Costa PP Number 01,6/4/2007,324,33,80.25338455,D,OMR,Interior
Clifton Court Intake,11/8/1983,324,33,60.70149483,W,OMR,Interior
Middle River @ Union Point - P10A,12/1/2009,320,33,92.29828513,D,OMR,Interior
Old River South of Rock Slough (St 5A),9/16/1983,248,33,64.13561458,W,OMR,Interior
Contra Costa PP Number 01,2/5/2002,385,32,70.70857903,D,OMR,Interior
Middle River @ Union Point - P10A,3/4/2008,374,32,66.16351777,C,OMR,Interior
Middle River at Bacon Island Bridge,1/26/1993,373,32,53.01541285,AN,OMR,Interior
Clifton Court Intake,2/10/1988,364,32,73.09597682,C,OMR,Interior
Contra Costa PP Number 01,4/22/1992,362,32,77.19407905,C,OMR,Interior
Old River South of Rock Slough (St 5A),4/3/1981,360,32,60.26052112,D,OMR,Interior
Rock Slough @ Old River,4/20/1994,357,32,78.884997,C,OMR,Interior
Clifton Court Intake,1/30/1985,348,32,71.87547462,D,OMR,Interior
Old River North of Rock Slough (St 4b),4/20/1994,348,32,78.884997,C,OMR,Interior
Rock Slough @ Old River,3/4/1986,342,32,0,W,OMR,Interior
Middle River at Bacon Island Bridge,6/10/1993,337,32,57.844797,AN,OMR,Interior
Middle River @ Union Point - P10A,6/2/2009,336,32,74.90839371,D,OMR,Interior
Old River South of Rock Slough (St 5A),2/17/1983,336,32,0,W,OMR,Interior
Middle River @ Union Point - P10A,2/7/2011,334,32,64.18410148,W,OMR,Interior
Middle River at Bacon Island Bridge,9/18/1990,327,32,87.49634818,C,OMR,Interior
Rock Slough @ Old River,2/28/1984,316,32,56.84567786,W,OMR,Interior
Old River South of Rock Slough (St 5A),9/15/1980,312,32,76.57711741,AN,OMR,Interior
Old River South of Rock Slough (St 5A),9/9/1986,308,32,80.98620884,W,OMR,Interior
Old River South of Rock Slough (St 5A),6/20/1985,302,32,86.18412719,D,OMR,Interior
Middle River at Bacon Island Bridge,10/14/1993,295,32,84.61138109,C,OMR,Interior
Contra Costa PP Number 01,6/2/1999,288,32,67.44761682,W,OMR,Interior
Clifton Court Intake,12/17/1986,285,32,84.66151096,W,OMR,Interior
Old River South of Rock Slough (St 5A),1/18/1979,381,31,59.76457767,BN,OMR,Interior
Contra Costa PP Number 01,2/10/1993,361,31,66.22571537,AN,OMR,Interior
Middle River @ Union Point - P10A,5/5/2009,358,31,73.26168644,D,OMR,Interior
Contra Costa PP Number 01,8/5/2003,348,31,69.2729812,AN,OMR,Interior
Old River South of Rock Slough (St 5A),3/21/1983,338,31,0,W,OMR,Interior
Rock Slough @ Old River,5/5/1992,337,31,86.61933596,C,OMR,Interior
Clifton Court Intake,7/5/1989,333,31,83.6210952,D,OMR,Interior
Middle River at Bacon Island Bridge,7/9/1990,330,31,87.6328401,C,OMR,Interior
Old River South of Rock Slough (St 5A),2/3/1981,325,31,59.47117587,D,OMR,Interior
Contra Costa PP Number 01,3/12/1997,314,31,55.67296976,W,OMR,Interior
Contra Costa PP Number 01,5/10/1995,307,31,49.34111805,W,OMR,Interior
Contra Costa PP Number 01,11/7/2006,302,31,88.98570418,AN,OMR,Interior
Middle River at Bacon Island Bridge,11/10/1993,293,31,87.72748074,C,OMR,Interior
Contra Costa PP Number 01,3/4/2008,361,30,66.16351777,C,OMR,Interior
Rock Slough @ Old River,2/24/1987,355,30,71.09908714,D,OMR,Interior
Contra Costa PP Number 01,5/6/2002,350,30,71.01564345,D,OMR,Interior
Contra Costa PP Number 01,6/6/2001,335,30,80.28545946,D,OMR,Interior
Contra Costa PP Number 01,5/6/2003,330,30,51.50084909,AN,OMR,Interior
Rock Slough @ Old River,4/9/1991,323,30,70.47185036,C,OMR,Interior
Contra Costa PP Number 01,2/3/2004,322,30,71.8099759,BN,OMR,Interior
Middle River @ Union Point - P10A,12/6/2010,321,30,84.27592276,BN,OMR,Interior
Middle River @ Union Point - P10A,6/7/2016,319,30,82.94141541,BN,OMR,Interior
Middle River @ Union Point - P10A,4/2/2007,318,30,72.02877378,D,OMR,Interior
Middle River @ Union Point - P10A,7/1/2008,318,30,84.87243383,C,OMR,Interior
Contra Costa PP Number 01,3/5/2007,315,30,58.91442023,D,OMR,Interior
Old River South of Rock Slough (St 5A),4/8/1980,303,30,56.38489514,AN,OMR,Interior
Old River South of Rock Slough (St 5A),9/3/1980,293,30,80.90049445,AN,OMR,Interior
Middle River @ Union Point - P10A,9/7/2016,288,30,84.03725468,BN,OMR,Interior
Contra Costa PP Number 01,8/6/1997,267,30,77.35304839,W,OMR,Interior
Clifton Court Intake,4/30/1987,365,29,82.11012672,D,OMR,Interior
Contra Costa PP Number 01,4/4/2001,341,29,72.87905364,D,OMR,Interior
Rock Slough @ Old River,4/8/1992,334,29,79.86326901,C,OMR,Interior
Old River North of Rock Slough (St 4b),5/5/1992,331,29,86.61933596,C,OMR,Interior
Contra Costa PP Number 01,6/4/2002,330,29,69.35185908,D,OMR,Interior
Middle River @ Union Point - P10A,4/7/2016,328,29,66.37589317,BN,OMR,Interior
Old River North of Rock Slough (St 4b),4/9/1991,320,29,70.47185036,C,OMR,Interior
Old River near Rock Slough,6/19/1959,318,29,91.43818578,BN,OMR,Interior
Contra Costa PP Number 01,6/8/2004,308,29,86.24729429,BN,OMR,Interior
Clifton Court Intake,5/30/1984,307,29,76.19129629,W,OMR,Interior
Clifton Court Intake,3/4/1986,306,29,0,W,OMR,Interior
Middle River at Bacon Island Bridge,12/15/1993,305,29,84.34978841,AN,OMR,Interior
Middle River @ Union Point - P10A,8/5/2008,304,29,88.35573476,C,OMR,Interior
Middle River at Bacon Island Bridge,7/16/1990,303,29,85.00509504,C,OMR,Interior
Clifton Court Intake,6/4/1986,303,29,70.7018673,W,OMR,Interior
Middle River at Bacon Island Bridge,9/10/1990,302,29,83.68375569,C,OMR,Interior
Middle River at Bacon Island Bridge,8/13/1990,296,29,82.37363354,C,OMR,Interior
Middle River @ Union Point - P10A,9/7/2010,294,29,86.84207092,BN,OMR,Interior
Middle River @ Union Point - P10A,6/5/2018,284,29,74.73149108,BN,OMR,Interior
Contra Costa PP Number 01,9/5/1996,283,29,73.8076039,W,OMR,Interior
Middle River @ Union Point - P10A,8/6/2007,277,29,84.7182393,D,OMR,Interior
Rock Slough @ Old River,4/9/1986,262,29,52.99907803,W,OMR,Interior
Old River South of Rock Slough (St 5A),2/28/1978,352,28,58.02981941,AN,OMR,Interior
Clifton Court Intake,2/9/1993,345,28,67.78217395,AN,OMR,Interior
Middle River at Bacon Island Bridge,4/22/1992,335,28,77.19407905,C,OMR,Interior
Rock Slough @ Old River,4/22/1992,330,28,77.19407905,C,OMR,Interior
Rock Slough @ Old River,3/24/1994,328,28,72.52425966,C,OMR,Interior
Old River North of Rock Slough (St 4b),4/8/1992,327,28,79.86326901,C,OMR,Interior
Old River North of Rock Slough (St 4b),4/22/1992,325,28,77.19407905,C,OMR,Interior
